"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Cromwell School District","=""0330011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",618,606,98.1,605,81,13.4,106,17.5,231,38.2,121,20.0,66,10.9,187,30.9,240
"Danbury School District","=""0340011""","Y",111,109,98.2,109,74,67.9,26,23.9,9,8.3,0,0.0,0,0.0,0,0.0,178
"Darien School District","=""0350011""","N",352,337,95.7,336,"*","*","*","*",64,19.0,90,26.8,172,51.2,262,78.0,296
"Derby School District","=""0370011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",59,57,96.6,57,"*","*","*","*",10,17.5,17,29.8,28,49.1,45,78.9,291
"East Haddam School District","=""0410011""","N",86,84,97.7,84,"*","*","*","*",38,45.2,12,14.3,24,28.6,36,42.9,264
"East Hampton School District","=""0420011""","N",109,108,99.1,107,"*","*","*","*",31,29.0,24,22.4,43,40.2,67,62.6,279
"East Hartford School District","=""0430011""","N",429,387,90.2,382,53,13.9,77,20.2,144,37.7,66,17.3,42,11.0,108,28.3,237
"East Hartford School District","=""0430011""","Y",55,51,92.7,51,29,56.9,14,27.5,6,11.8,"*","*","*","*","*","*",194
"East Haven School District","=""0440011""","N",217,210,96.8,210,"*","*","*","*","*","*","*","*","*","*","*","*",248
"East Haven School District","=""0440011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","N",287,284,99.0,283,"*","*","*","*",69,24.4,77,27.2,123,43.5,200,70.7,289
"East Windsor School District","=""0470011""","N",90,88,97.8,88,6,6.8,6,6.8,33,37.5,24,27.3,19,21.6,43,48.9,256
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",92,83,90.2,82,"*","*","*","*","*","*","*","*","*","*","*","*",238
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",367,363,98.9,363,13,3.6,31,8.5,141,38.8,108,29.8,70,19.3,178,49.0,262
