"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Luis Munoz Marin School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Madison School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Multicultural Magnet School",="Special Education - Teachers and Instructors",="Certified",2.5
,="Park City Academy",="Special Education - Teachers and Instructors",="Certified",1.0
,="Park City Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Read School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Roosevelt School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Skane Center",="Special Education - Teachers and Instructors",="Certified",15.0
,="Waltersville School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Winthrop School",="Special Education - Teachers and Instructors",="Certified",4.0
="Bristol School District",="Alternative Special Education Program (ASEP)",="Special Education - Teachers and Instructors",="Certified",5.0
,="Bristol Central High School",="Special Education - Teachers and Instructors",="Certified",11.6
,="Bristol Eastern High School",="Special Education - Teachers and Instructors",="Certified",9.6
,="Chippens Hill Middle School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Community/Vocational Program",="Special Education - Teachers and Instructors",="Certified",1.0
,="Edgewood School",="Special Education - Teachers and Instructors",="Certified",1.5
,="Ellen P. Hubbell School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Greene-Hills School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Ivy Drive School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Mountain View School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Northeast Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
,="South Side School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Stafford School",="Special Education - Teachers and Instructors",="Certified",7.0
,="West Bristol School",="Special Education - Teachers and Instructors",="Certified",5.0
="Brookfield School District",="Brookfield High School",="Special Education - Teachers and Instructors",="Certified",7.1
,="Center Elementary School",="Special Education - Teachers and Instructors",="Certified",3.9
,="Huckleberry Hill Elementary School",="Special Education - Teachers and Instructors",="Certified",5.9
,="Whisconier Middle School",="Special Education - Teachers and Instructors",="Certified",5.9
="Brooklyn School District",="Brooklyn Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Brooklyn Middle School",="Special Education - Teachers and Instructors",="Certified",4.0
="Canaan School District",="Lee H. Kellogg School",="Special Education - Teachers and Instructors",="Certified",1.0
="Canterbury School District",="Canterbury Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Dr. Helen Baldwin Middle School",="Special Education - Teachers and Instructors",="Certified",2.0
="Canton School District",="Canton High School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Canton Intermediate School",="Special Education - Teachers and Instructors",="Certified",4.6
,="Canton Middle School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Cherry Brook Primary School",="Special Education - Teachers and Instructors",="Certified",4.0
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Special Education - Teachers and Instructors",="Certified",6.0
,="Ana Grace Academy of the Arts Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Discovery Academy",="Special Education - Teachers and Instructors",="Certified",2.0
,="Farmington Valley Regional Diagnostic Center",="Special Education - Teachers and Instructors",="Certified",2.0
,="Glastonbury/East Hartford Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Greater Hartford Academy of the Arts High School - Full Time",="Special Education - Teachers and Instructors",="Certified",3.0
,="Greater Hartford Academy of the Arts Magnet Middle",="Special Education - Teachers and Instructors",="Certified",3.0
,="Integrated Program Models",="Special Education - Teachers and Instructors",="Certified",2.0
,="International Magnet School for Global Citizenship",="Special Education - Teachers and Instructors",="Certified",4.0
,="John J. Allison Polaris Center",="Special Education - Teachers and Instructors",="Certified",11.0
,="Lincoln Academy Regional Interdistrict Collaborative",="Special Education - Teachers and Instructors",="Certified",1.0
,="Medical Professions and Teacher Preparation Academy",="Special Education - Teachers and Instructors",="Certified",2.5
,="Metropolitan Learning Center for Global and International Studies",="Special Education - Teachers and Instructors",="Certified",4.0
,="Montessori Magnet School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Museum Academy",="Special Education - Teachers and Instructors",="Certified",3.0
,="Public Safety Academy",="Special Education - Teachers and Instructors",="Certified",5.0
,="Reggio Magnet School of the Arts",="Special Education - Teachers and Instructors",="Certified",3.5
,="River Street Early Learning Center (Site 2)",="Special Education - Teachers and Instructors",="Certified",7.4
,="River Street School",="Special Education - Teachers and Instructors",="Certified",34.3
,="STRIVE (Southern Transition Real-World and Independent Vocational Education Program",="Special Education - Teachers and Instructors",="Certified",1.0
,="Soundbridge",="Special Education - Teachers and Instructors",="Certified",21.6
,="Two Rivers Magnet High School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Two Rivers Magnet Middle School",="Special Education - Teachers and Instructors",="Certified",7.0
,="University of Hartford Magnet School",="Special Education - Teachers and Instructors",="Certified",6.5
="Chaplin School District",="Chaplin Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
="Cheshire School District",="Chapman School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Cheshire High School",="Special Education - Teachers and Instructors",="Certified",13.4
,="Darcey School",="Special Education - Teachers and Instructors",="Certified",5.8
,="Dodd Middle School",="Special Education - Teachers and Instructors",="Certified",7.9
,="Doolittle School",="Special Education - Teachers and Instructors",="Certified",3.7
,="Highland School",="Special Education - Teachers and Instructors",="Certified",7.0
