"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Griswold Middle School",="Special Education - Teachers and Instructors",="Certified",6.1
="Groton School District",="Carl C. Cutler Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Catherine Kolnaski Magnet School",="Special Education - Teachers and Instructors",="Certified",4.3
,="Charles Barnum School",="Special Education - Teachers and Instructors",="Certified",5.5
,="Claude Chester School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Mary Morrisson School",="Special Education - Teachers and Instructors",="Certified",5.5
,="Northeast Academy Elementary School",="Special Education - Teachers and Instructors",="Certified",2.5
,="Pleasant Valley School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Robert E. Fitch High School",="Special Education - Teachers and Instructors",="Certified",11.0
,="S. B. Butler School",="Special Education - Teachers and Instructors",="Certified",7.5
,="West Side Middle School",="Special Education - Teachers and Instructors",="Certified",7.0
="Guilford School District",="A. Baldwin Middle School",="Special Education - Teachers and Instructors",="Certified",6.4
,="A. W. Cox School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Calvin Leete School",="Special Education - Teachers and Instructors",="Certified",4.5
,="E. C. Adams Middle School",="Special Education - Teachers and Instructors",="Certified",5.6
,="Guilford High School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Guilford Lakes School",="Special Education - Teachers and Instructors",="Certified",6.5
,="Melissa Jones School",="Special Education - Teachers and Instructors",="Certified",3.5
="Hamden School District",="Alice Peck Learning Center",="Special Education - Teachers and Instructors",="Certified",7.0
,="Bear Path School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Church Street School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Dunbar Hill School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Hamden High School",="Special Education - Teachers and Instructors",="Certified",13.0
,="Hamden Middle School",="Special Education - Teachers and Instructors",="Certified",10.0
,="Helen Street School",="Special Education - Teachers and Instructors",="Certified",2.5
,="Ridge Hill School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Shepherd Glen School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Spring Glen School",="Special Education - Teachers and Instructors",="Certified",2.5
,="West Woods School",="Special Education - Teachers and Instructors",="Certified",4.0
="Hampton School District",="Hampton Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0
="Hartford School District",="Asian Studies Academy",="Special Education - Teachers and Instructors",="Certified",3.5
,="Batchelder School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Betances STEM Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Breakthrough II Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Breakthrough Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Bulkeley High School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Bulkeley High School Lower School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Burns Latino Studies Academy",="Special Education - Teachers and Instructors",="Certified",4.0
,="Burr School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Capital Preparatory Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Clark School",="Special Education - Teachers and Instructors",="Certified",6.5
,="Classical Magnet School",="Special Education - Teachers and Instructors",="Certified",1.8
,="Culinary Arts Academy at Weaver High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Dr. Joseph Bellizzi Middle School",="Special Education - Teachers and Instructors",="Certified",2.5
,="Dr. Ramon E. Betances Early Reading Lab",="Special Education - Teachers and Instructors",="Certified",3.0
,="Environmental Sciences Magnet at Hooker School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Expeditionary Learning Academy at Moylan School",="Special Education - Teachers and Instructors",="Certified",8.8
,="Global Communications Academy",="Special Education - Teachers and Instructors",="Certified",3.0
,="Great Path Academy High School at MCC",="Special Education - Teachers and Instructors",="Certified",2.0
,="HPHS Engineering and Green Technology Academy",="Special Education - Teachers and Instructors",="Certified",8.3
,="HPHS Freshmen Academy",="Special Education - Teachers and Instructors",="Certified",0.3
,="HPHS Law and Government Academy",="Special Education - Teachers and Instructors",="Certified",7.3
,="HPHS Nursing and Health Sciences Academy",="Special Education - Teachers and Instructors",="Certified",4.3
,="Hartford Magnet Trinity College Academy",="Special Education - Teachers and Instructors",="Certified",6.0
,="Hartford PreKindergarten Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0
,="High School Inc.",="Special Education - Teachers and Instructors",="Certified",2.0
,="Journalism and Media Academy Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Kennelly School",="Special Education - Teachers and Instructors",="Certified",4.0
,="M. D. Fox School",="Special Education - Teachers and Instructors",="Certified",6.0
,="M. L. King, Jr. School",="Special Education - Teachers and Instructors",="Certified",6.5
,="McDonough Middle School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Milner School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Montessori Magnet School at Annie Fisher",="Special Education - Teachers and Instructors",="Certified",0.5
,="Montessori Magnet at Moylan School",="Special Education - Teachers and Instructors",="Certified",0.2
,="Naylor/CCSU Leadership Academy",="Special Education - Teachers and Instructors",="Certified",6.0
,="OPPortunity High School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Parkville Community School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Pathways Academy of Technology and Design",="Special Education - Teachers and Instructors",="Certified",4.0
,="R.J. Kinsella Magnet School of Performing Arts",="Special Education - Teachers and Instructors",="Certified",4.0
,="Rawson School",="Special Education - Teachers and Instructors",="Certified",4.5
,="SAND School",="Special Education - Teachers and Instructors",="Certified",4.5
,="STEM Magnet at Fisher School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Sanchez School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Simpson-Waverly School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Sports and Medical Sciences Academy",="Special Education - Teachers and Instructors",="Certified",3.0
,="University High of Science and Engineering",="Special Education - Teachers and Instructors",="Certified",1.4
,="Webster Micro Society Magnet School",="Special Education - Teachers and Instructors",="Certified",2.5
,="West Middle School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Wish Museum School",="Special Education - Teachers and Instructors",="Certified",5.0
="Hartland School District",="Hartland School",="Special Education - Teachers and Instructors",="Certified",1.0
="Hebron School District",="Gilead Hill School",="Special Education - Teachers and Instructors",="Certified",4.5
,="Hebron Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0
="Integrated Day Charter School District",="Integrated Day Charter School",="Special Education - Teachers and Instructors",="Certified",2.0
="Interdistrict School for Arts and Comm District",="Interdistrict School For Arts And Communication",="Special Education - Teachers and Instructors",="Certified",5.0
="Jumoke Academy District",="Jumoke Academy",="Special Education - Teachers and Instructors",="Certified",2.0
="Kent School District",="Kent Center School",="Special Education - Teachers and Instructors",="Certified",2.5
="Killingly School District",="Goodyear Early Childhood Center",="Special Education - Teachers and Instructors",="Certified",3.0
,="Killingly Central School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Killingly High School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Killingly Intermediate School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Killingly Memorial School",="Special Education - Teachers and Instructors",="Certified",4.0
="Learn",="Connecticut River Academy",="Special Education - Teachers and Instructors",="Certified",4.0
,="Dual Language & Arts Magnet Middle School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Learn Special Education",="Special Education - Teachers and Instructors",="Certified",14.3
,="Marine Science Magnet High School of Southeastern Connecticut",="Special Education - Teachers and Instructors",="Certified",3.0
,="Regional Multicultural Magnet School",="Special Education - Teachers and Instructors",="Certified",4.4
,="The Friendship School",="Special Education - Teachers and Instructors",="Certified",5.0
="Lebanon School District",="Lebanon Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Lebanon Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Lyman Memorial High School",="Special Education - Teachers and Instructors",="Certified",3.0
="Ledyard School District",="Gales Ferry School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Gallup Hill School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Juliet W. Long School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Ledyard Center School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Ledyard High School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Ledyard Middle School",="Special Education - Teachers and Instructors",="Certified",4.0
="Lisbon School District",="Lisbon Central School",="Special Education - Teachers and Instructors",="Certified",6.0
="Litchfield School District",="Center School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Litchfield High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Litchfield Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.0
="Madison School District",="Daniel Hand High School",="Special Education - Teachers and Instructors",="Certified",9.6
,="Dr. Robert H. Brown Middle School",="Special Education - Teachers and Instructors",="Certified",6.3
,="Island Avenue Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="J. Milton Jeffrey Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Kathleen H. Ryerson Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Town Campus Learning Center",="Special Education - Teachers and Instructors",="Certified",3.0
,="Walter C. Polson Upper Middle School",="Special Education - Teachers and Instructors",="Certified",6.3
="Manchester School District",="Bowers School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Buckley School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Elisabeth M. Bennet Academy",="Special Education - Teachers and Instructors",="Certified",5.0
,="Highland Park School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Illing Middle School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Keeney School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Manchester High School",="Special Education - Teachers and Instructors",="Certified",14.0
,="Manchester Preschool Center",="Special Education - Teachers and Instructors",="Certified",2.0
,="Manchester Regional Academy",="Special Education - Teachers and Instructors",="Certified",10.0
,="Manchester Transition Center",="Special Education - Teachers and Instructors",="Certified",1.0
,="Martin School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Robertson School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Verplanck School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Waddell School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Washington School",="Special Education - Teachers and Instructors",="Certified",2.0
="Mansfield School District",="Annie E. Vinton School",="Special Education - Teachers and Instructors",="Certified",1.5
,="Dorothy C. Goodwin School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Mansfield Middle School School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Southeast Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
="Marlborough School District",="Elmer Thienes-Mary Hall Elementary School",="Special Education - Teachers and Instructors",="Certified",4.6
="Meriden School District",="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",4.2
,="Benjamin Franklin School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Casimir Pulaski School",="Special Education - Teachers and Instructors",="Certified",5.1
,="Francis T. Maloney High School",="Special Education - Teachers and Instructors",="Certified",13.0
,="Hanover School",="Special Education - Teachers and Instructors",="Certified",7.1
,="Israel Putnam School",="Special Education - Teachers and Instructors",="Certified",4.0
,="John Barry School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Lincoln Middle School",="Special Education - Teachers and Instructors",="Certified",9.3
,="Orville H. Platt High School",="Special Education - Teachers and Instructors",="Certified",13.5
,="Roger Sherman School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Thomas Hooker School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Washington Middle School",="Special Education - Teachers and Instructors",="Certified",11.2
="Middletown School District",="Bielefield School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Farm Hill School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Keigwin Middle School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Lawrence School",="Special Education - Teachers and Instructors",="Certified",3.0
,="MacDonough School",="Special Education - Teachers and Instructors",="Certified",2.2
,="Middletown High School",="Special Education - Teachers and Instructors",="Certified",10.0
,="Moody School",="Special Education - Teachers and Instructors",="Certified",2.6
,="Snow School",="Special Education - Teachers and Instructors",="Certified",7.2
,="Spencer School",="Special Education - Teachers and Instructors",="Certified",2.4
,="Transition to Life Center",="Special Education - Teachers and Instructors",="Certified",1.0
,="Wesley School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Woodrow Wilson Middle School",="Special Education - Teachers and Instructors",="Certified",8.2
="Milford School District",="Calf Pen Meadow School",="Special Education - Teachers and Instructors",="Certified",2.5
,="East Shore Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Harborside Middle School",="Special Education - Teachers and Instructors",="Certified",7.0
,="J. F. Kennedy School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Jonathan Law High School",="Special Education - Teachers and Instructors",="Certified",11.3
,="Joseph A. Foran High School",="Special Education - Teachers and Instructors",="Certified",8.7
,="Live Oaks School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Mathewson School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Meadowside School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Orange Avenue School",="Special Education - Teachers and Instructors",="Certified",11.2
,="Orchard Hills School",="Special Education - Teachers and Instructors",="Certified",4.8
,="Pumpkin Delight School",="Special Education - Teachers and Instructors",="Certified",4.0
,="West Shore Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
="Monroe School District",="Fawn Hollow Elementary School",="Special Education - Teachers and Instructors",="Certified",5.3
,="Jockey Hollow School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Masuk High School",="Special Education - Teachers and Instructors",="Certified",9.5
,="Monroe Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Stepney Elementary School",="Special Education - Teachers and Instructors",="Certified",4.5
="Montville School District",="Dr. Charles E. Murphy School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Leonard J. Tyl Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Mohegan School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Montville High School",="Special Education - Teachers and Instructors",="Certified",6.7
,="Oakdale School",="Special Education - Teachers and Instructors",="Certified",6.5
,="Palmer Academy",="Special Education - Teachers and Instructors",="Certified",3.0
="Naugatuck School District",="Andrew Avenue School",="Special Education - Teachers and Instructors",="Certified",1.1
,="Central Avenue Preschool",="Special Education - Teachers and Instructors",="Certified",4.0
,="City Hill Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Cross Street Intermediate School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Hillside Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Hop Brook Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Maple Hill School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Naugatuck High School",="Special Education - Teachers and Instructors",="Certified",13.7
,="Salem School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Western School",="Special Education - Teachers and Instructors",="Certified",2.0
="New Beginnings Inc Family Academy District",="New Beginnings Inc., Family Academy",="Special Education - Teachers and Instructors",="Certified",2.0
="New Britain School District",="Alternative Center School",="Special Education - Teachers and Instructors",="Certified",2.0
,="CLIMB",="Special Education - Teachers and Instructors",="Certified",1.0
,="Chamberlain Elementary School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Frank J. DiLoreto School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Gaffney School",="Special Education - Teachers and Instructors",="Certified",12.0
,="Holmes School",="Special Education - Teachers and Instructors",="Certified",3.6
,="Jefferson School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Lincoln School",="Special Education - Teachers and Instructors",="Certified",4.0
,="New Britain High School",="Special Education - Teachers and Instructors",="Certified",22.9
,="New Britain Transition Center",="Special Education - Teachers and Instructors",="Certified",4.0
,="Northend School",="Special Education - Teachers and Instructors",="Certified",1.4
,="Pulaski Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Roosevelt Middle School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Slade Middle School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Smalley Academy",="Special Education - Teachers and Instructors",="Certified",5.0
,="Smith School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Vance School",="Special Education - Teachers and Instructors",="Certified",3.0
="New Canaan School District",="East School",="Special Education - Teachers and Instructors",="Certified",3.0
,="New Canaan High School",="Special Education - Teachers and Instructors",="Certified",10.0
,="Saxe Middle School",="Special Education - Teachers and Instructors",="Certified",11.6
,="South School",="Special Education - Teachers and Instructors",="Certified",3.5
,="West School",="Special Education - Teachers and Instructors",="Certified",6.8
="New Fairfield School District",="Consolidated School",="Special Education - Teachers and Instructors",="Certified",8.2
,="Meeting House Hill School",="Special Education - Teachers and Instructors",="Certified",5.0
,="New Fairfield High School",="Special Education - Teachers and Instructors",="Certified",6.0
,="New Fairfield Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
="New Hartford School District",="Ann Antolini School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Bakerville Consolidated School",="Special Education - Teachers and Instructors",="Certified",1.0
,="New Hartford Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0
="New Haven School District",="Edgewood School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",5.1
,="Augusta Lewis Troup School",="Special Education - Teachers and Instructors",="Certified",5.4
,="Barnard Environmental Magnet School",="Special Education - Teachers and Instructors",="Certified",3.2
,="Beecher School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Benjamin Jepson Magnet School",="Special Education - Teachers and Instructors",="Certified",3.1
,="Betsy Ross Arts Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Bishop Woods School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Brennan Rogers School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Celentano BioTech, Health and Medical Magnet School",="Special Education - Teachers and Instructors",="Certified",7.6
,="Clemente Leadership Academy",="Special Education - Teachers and Instructors",="Certified",2.0
,="Clinton Avenue School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Columbus Family Academy",="Special Education - Teachers and Instructors",="Certified",3.4
,="Conte/West Hills Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Cooperative High School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Cortlandt V.R. Creed Health and Sport Sciences High School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Davis 21st Century Magnet Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Domus Academy",="Special Education - Teachers and Instructors",="Certified",2.0
,="Early Learning Center",="Special Education - Teachers and Instructors",="Certified",1.0
,="East Rock Community Magnet School",="Special Education - Teachers and Instructors",="Certified",12.1
,="Engineering - Science University Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Fair Haven School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Headstart",="Special Education - Teachers and Instructors",="Certified",1.0
,="Helene Grant HeadStart",="Special Education - Teachers and Instructors",="Certified",5.9
,="High School In The Community",="Special Education - Teachers and Instructors",="Certified",4.0
,="Hill Central Music Academy",="Special Education - Teachers and Instructors",="Certified",4.0
,="Hill Regional Career High School",="Special Education - Teachers and Instructors",="Certified",2.0
,="James Hillhouse High School",="Special Education - Teachers and Instructors",="Certified",8.1
,="John C. Daniels",="Special Education - Teachers and Instructors",="Certified",4.1
,="John S. Martinez School",="Special Education - Teachers and Instructors",="Certified",3.1
,="King/Robinson Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Lincoln-Bassett School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Mauro-Sheridan Magnet School",="Special Education - Teachers and Instructors",="Certified",4.1
,="Metropolitan Business Academy",="Special Education - Teachers and Instructors",="Certified",2.4
,="New Haven Academy",="Special Education - Teachers and Instructors",="Certified",2.0
,="Polly T. McCabe Center",="Special Education - Teachers and Instructors",="Certified",0.6
,="Quinnipiac Real World Math STEM School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Riverside Education Academy",="Special Education - Teachers and Instructors",="Certified",3.0
,="Ross/Woodward School",="Special Education - Teachers and Instructors",="Certified",3.3
,="Sound School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Strong 21st Century Communications Magnet and SCSU Lab School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Truman School",="Special Education - Teachers and Instructors",="Certified",4.0
,="West Rock Authors Academy",="Special Education - Teachers and Instructors",="Certified",4.0
,="Wexler/Grant Community School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Wilbur Cross High School",="Special Education - Teachers and Instructors",="Certified",17.5
,="Worthington Hooker School",="Special Education - Teachers and Instructors",="Certified",1.0
="New London School District",="Jennings School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Bennie Dover Jackson Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Nathan Hale Arts Magnet School",="Special Education - Teachers and Instructors",="Certified",6.0
,="New London High School",="Special Education - Teachers and Instructors",="Certified",10.0
,="Winthrop STEM Elementary Magnet School",="Special Education - Teachers and Instructors",="Certified",8.0
="New Milford School District",="Hill And Plain School",="Special Education - Teachers and Instructors",="Certified",6.5
,="John Pettibone School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Litchfield Hills Transition Center",="Special Education - Teachers and Instructors",="Certified",1.0
,="New Milford High School",="Special Education - Teachers and Instructors",="Certified",11.5
,="Northville Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Sarah Noble Intermediate School",="Special Education - Teachers and Instructors",="Certified",13.0
,="Schaghticoke Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
="Newington School District",="Anna Reynolds School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Elizabeth Green School",="Special Education - Teachers and Instructors",="Certified",4.0
,="John Paterson School",="Special Education - Teachers and Instructors",="Certified",3.0
,="John Wallace Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Martin Kellogg Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Newington High School",="Special Education - Teachers and Instructors",="Certified",10.5
,="Ruth Chaffee School",="Special Education - Teachers and Instructors",="Certified",2.0
="Newtown School District",="Hawley Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Head O'Meadow Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Middle Gate Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Newtown High School",="Special Education - Teachers and Instructors",="Certified",12.0
,="Newtown Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Newtown Preschool",="Special Education - Teachers and Instructors",="Certified",3.0
,="Reed Intermediate School",="Special Education - Teachers and Instructors",="Certified",5.0
,="STARR",="Special Education - Teachers and Instructors",="Certified",1.0
,="Sandy Hook Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
="Norfolk School District",="Botelle Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Bridges II",="Special Education - Teachers and Instructors",="Certified",1.0
="North Branford School District",="Jerome Harrison School",="Special Education - Teachers and Instructors",="Certified",4.5
,="North Branford High School",="Special Education - Teachers and Instructors",="Certified",9.0
,="North Branford Intermediate School",="Special Education - Teachers and Instructors",="Certified",6.3
,="School to Work Program",="Special Education - Teachers and Instructors",="Certified",1.0
,="Totoket Valley Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0
="North Canaan School District",="North Canaan Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
="North Haven School District",="Clintonville Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Green Acres Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Montowese Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="North Haven High School",="Special Education - Teachers and Instructors",="Certified",6.0
,="North Haven Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Ridge Road Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
="North Stonington School District",="North Stonington Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Wheeler High School",="Special Education - Teachers and Instructors",="Certified",1.6
,="Wheeler Middle School",="Special Education - Teachers and Instructors",="Certified",2.4
="Norwalk School District",="Brien McMahon High School",="Special Education - Teachers and Instructors",="Certified",10.0
,="Brookside Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Columbus Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Cranbury Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Fox Run Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Jefferson Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Kendall Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Marvin Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Naramake Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Nathan Hale Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Norwalk High School",="Special Education - Teachers and Instructors",="Certified",11.3
,="Norwalk Pathways Academy at Briggs",="Special Education - Teachers and Instructors",="Certified",2.0
,="Ponus Ridge Middle School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Roton Middle School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Rowayton School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Silvermine Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Tracey School",="Special Education - Teachers and Instructors",="Certified",3.0
,="West Rocks Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Wolfpit School",="Special Education - Teachers and Instructors",="Certified",3.0
="Norwich Free Academy District",="Norwich Free Academy",="Special Education - Teachers and Instructors",="Certified",22.0
="Norwich School District",="Bishop School Early Learning Center",="Special Education - Teachers and Instructors",="Certified",2.0
,="Deborah-Tennant Zinewicz School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Hickory Street School",="Special Education - Teachers and Instructors",="Certified",3.0
,="John B. Stanton Network School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Kelly Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Moriarty Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Samuel Huntington School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Teachers' Memorial Middle School",="Special Education - Teachers and Instructors",="Certified",7.5
,="Thomas W. Mahan School",="Special Education - Teachers and Instructors",="Certified",4.2
,="Uncas Network School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Veterans' Memorial School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Wequonnoc Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0
="Odyssey Community School District",="Odyssey Community School",="Special Education - Teachers and Instructors",="Certified",4.0
="Old Saybrook School District",="Kathleen E. Goodwin School",="Special Education - Teachers and Instructors",="Certified",10.6
,="Old Saybrook Middle School",="Special Education - Teachers and Instructors",="Certified",8.0
,="Old Saybrook Senior High School",="Special Education - Teachers and Instructors",="Certified",6.0
="Orange School District",="Mary L. Tracy School",="Special Education - Teachers and Instructors",="Certified",2.8
,="Peck Place School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Race Brook School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Turkey Hill School",="Special Education - Teachers and Instructors",="Certified",1.0
="Oxford School District",="Great Oak School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Oxford Center School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Oxford High School",="Special Education - Teachers and Instructors",="Certified",5.8
,="Quaker Farms School",="Special Education - Teachers and Instructors",="Certified",5.0
="Park City Prep Charter School District",="Park City Prep Charter School",="Special Education - Teachers and Instructors",="Certified",1.0
="Plainfield School District",="Moosup Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Plainfield Central School",="Special Education - Teachers and Instructors",="Certified",9.0
