"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
="East Hampton School District",="Center School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,4.5,4.0
,="East Hampton High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="East Hampton Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,5.5,4.0,6.1,6.5
,="Memorial School",="Special Education - Teachers and Instructors",="Certified",8.0,8.5,8.0,7.0,7.3
,="The Learning Center at East Hampton",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="East Hartford School District",="Anna E. Norris School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.0
,="Dr. Franklin H. Mayberry School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.0
,="Dr. John A. Langford School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,2.0,3.0,3.0
,="Dr. Thomas S. O'Connell School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.0,3.0
,="East Hartford High School",="Special Education - Teachers and Instructors",="Certified",15.0,14.5,14.8,14.6,16.0
,="East Hartford Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,10.0,11.0,12.0
,="Governor William Pitkin School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.0,2.5
,="Hockanum School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,3.0,2.5
,="Joseph O. Goodwin School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,6.0,6.0,6.0
,="Robert J. O'Brien School",="Special Education - Teachers and Instructors",="Certified",3.5,4.0,3.3,3.0,4.0
,="Silver Lane School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,3.0
,="Stevens Alternate High School",="Special Education - Teachers and Instructors",="Certified",1.0,1.5,1.4,2.0,2.0
,="Sunset Ridge School Elementary Academy for Arts and World Languages",="Special Education - Teachers and Instructors",="Certified",1.5,2.0,2.0,1.0,1.0
,="Willowbrook Early Childhood",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,3.0,4.0,4.0
,="Woodland School",="Special Education - Teachers and Instructors",="Certified",16.0,17.0,17.0,16.0,16.0
="East Haven School District",="Carbone School/East Haven Academy",="Special Education - Teachers and Instructors",="Certified",0.8,1.0,2.0,3.0,3.0
,="D. C. Moore School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.0,2.0
,="Deer Run School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,4.0
,="Dominick H. Ferrara School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.0,1.0
,="East Haven High School",="Special Education - Teachers and Instructors",="Certified",9.0,9.0,9.0,9.0,11.0
,="Grove J. Tuttle School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,3.0,3.5
,="Joseph Melillo Middle School",="Special Education - Teachers and Instructors",="Certified",4.2,5.0,4.0,5.0,6.0
,="Momauguin School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,3.0,3.0
,="Overbrook Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,0.5
="East Lyme School District",="East Lyme High School",="Special Education - Teachers and Instructors",="Certified",9.7,9.7,12.7,12.9,13.0
,="East Lyme Middle School",="Special Education - Teachers and Instructors",="Certified",14.0,13.0,12.0,12.0,12.0
,="Flanders School",="Special Education - Teachers and Instructors",="Certified",3.0,2.3,3.5,3.0,3.5
,="Integrated Preschool",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Lillie B. Haynes School",="Special Education - Teachers and Instructors",="Certified",4.0,4.5,4.5,3.0,3.5
,="Niantic Center School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="East Windsor School District",="Broad Brook Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.5,5.0,5.0
,="East Windsor High School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,5.0
,="East Windsor Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,6.0,7.0,7.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Arts at the Capitol Theater Magnet School (ACT)",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="EastConn Special Education",="Special Education - Teachers and Instructors",="Certified",18.0,17.0,18.8,20.1,18.0
,="Quinebaug Middle College",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="Eastford School District",="Eastford Elementary School",="Special Education - Teachers and Instructors",="Certified",2.7,2.6,2.6,2.0,1.8
="Easton School District",="Helen Keller Middle School",="Special Education - Teachers and Instructors",="Certified",3.2,4.2,4.2,4.2,4.0
,="Samuel Staples Elementary School",="Special Education - Teachers and Instructors",="Certified",8.2,7.2,6.2,7.2,8.0
="EdAdvance",="GFLC/ACCESS School",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,2.0,1.0,2.0
="Ellington School District",="Center School",="Special Education - Teachers and Instructors",="Certified",5.6,6.0,6.0,4.6,5.7
,="Crystal Lake School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Ellington High School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
,="Ellington Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Windermere Intermediate School",="Special Education - Teachers and Instructors",="Certified",3.4,4.5,4.6,3.4,4.3
,="Windermere School",="Special Education - Teachers and Instructors",="Certified",2.6,3.5,3.4,3.6,3.7
="Elm City College Preparatory School District",="Elm City College Preparatory School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,0.8,0.8,1.0
="Enfield School District",="Edgar H. Parkman School",="Special Education - Teachers and Instructors",="Certified",3.5,3.0,3.0,3.0,3.4
,="Eli Whitney School",="Special Education - Teachers and Instructors",="Certified",5.0,2.0,2.0,3.0,3.0
,="Enfield High School",="Special Education - Teachers and Instructors",="Certified",6.6,7.1,7.1,7.6,7.6
,="Enfield Street School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.0,3.0,2.6
,="Enfield Transitional Learning Academy",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,2.0,1.0,1.0
,="Enrico Fermi High School",="Special Education - Teachers and Instructors",="Certified",8.6,8.6,8.6,8.6,8.6
,="Harriet Beecher Stowe School",="Special Education - Teachers and Instructors",="Certified",3.0,.,.,.,.
,"Hazardville Memorial School","Special Education - Teachers and Instructors","Certified",2.5,6.0,5.0,5.0,5.0
,="Henry Barnard School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,3.0,3.0
,="John F. Kennedy Middle School",="Special Education - Teachers and Instructors",="Certified",9.6,11.6,11.6,11.6,11.0
,="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Prudence Crandall School",="Special Education - Teachers and Instructors",="Certified",2.0,5.5,5.5,4.0,4.0
,="Thomas G. Alcorn School",="Special Education - Teachers and Instructors",="Certified",2.0,.,.,.,.
"Essex School District","Essex Elementary School","Special Education - Teachers and Instructors","Certified",8.0,8.5,10.0,10.0,9.0
="Explorations District",="Explorations",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,2.0,2.0
="Fairfield School District",="Burr Elementary School",="Special Education - Teachers and Instructors",="Certified",3.1,3.2,4.2,4.1,4.0
,="Dwight Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,4.1,4.0
,="Early Childhood Center",="Special Education - Teachers and Instructors",="Certified",5.0,5.4,5.0,5.0,5.0
,="Fairfield Ludlowe High School",="Special Education - Teachers and Instructors",="Certified",10.6,10.1,10.1,10.0,11.0
,="Fairfield Warde High School",="Special Education - Teachers and Instructors",="Certified",10.6,10.2,11.8,11.6,11.8
,="Fairfield Woods Middle School",="Special Education - Teachers and Instructors",="Certified",7.1,8.7,8.1,9.1,9.1
,="Holland Hill School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,3.0,3.1,3.0
,="Jennings School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.0,4.0
,="McKinley School",="Special Education - Teachers and Instructors",="Certified",3.1,3.1,4.5,4.4,4.3
,="Mill Hill School",="Special Education - Teachers and Instructors",="Certified",3.1,3.0,4.0,4.0,4.0
,="North Stratfield School",="Special Education - Teachers and Instructors",="Certified",3.1,3.1,4.1,4.0,4.0
,="Osborn Hill School",="Special Education - Teachers and Instructors",="Certified",3.7,3.7,5.0,5.0,5.0
,="Riverfield School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,4.0,4.0
,="Roger Ludlowe Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,9.0,9.0,9.0
,="Sherman School",="Special Education - Teachers and Instructors",="Certified",2.6,2.7,4.1,4.0,4.0
,="Stratfield School",="Special Education - Teachers and Instructors",="Certified",3.1,3.1,4.1,4.0,4.0
,="Tomlinson Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,7.0,7.0,8.1,8.1
,="Walter Fitzgerald Campus",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,3.0
="Farmington School District",="East Farms School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,3.0,3.0,3.0
,="Farmington Collaborative PK",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.0,2.0,2.7
,="Farmington High School",="Special Education - Teachers and Instructors",="Certified",8.9,8.9,9.9,10.9,11.1
,="Irving A. Robbins Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,7.0,6.3
,="Noah Wallace School",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,1.5,1.5
,="Union School",="Special Education - Teachers and Instructors",="Certified",1.5,2.5,2.5,2.5,2.5
,="West District School",="Special Education - Teachers and Instructors",="Certified",3.5,2.5,2.5,2.5,2.5
,="West Woods Upper Elementary School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,7.0,7.0
,="Farmington Alternative High School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Franklin School District",="Franklin Elementary School",="Special Education - Teachers and Instructors",="Certified",1.6,2.4,1.6,1.6,1.6
="Glastonbury School District",="Buttonball Lane School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.5,2.5
,="Eastbury School",="Special Education - Teachers and Instructors",="Certified",1.7,3.5,3.0,3.5,2.0
,="Gideon Welles School",="Special Education - Teachers and Instructors",="Certified",3.5,4.4,3.9,4.2,4.4
,="Glastonbury High School",="Special Education - Teachers and Instructors",="Certified",15.2,14.9,15.9,17.9,14.9
,="Hebron Avenue School",="Special Education - Teachers and Instructors",="Certified",2.4,1.9,1.9,1.9,1.0
,="Hopewell School",="Special Education - Teachers and Instructors",="Certified",1.3,2.5,2.5,2.0,2.0
,="Naubuc School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.0,3.0,3.0
,="Nayaug Elementary School",="Special Education - Teachers and Instructors",="Certified",6.4,5.0,4.0,5.0,4.0
,="Smith Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,8.0,9.2,7.7
,="LINKS Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,2.0,3.0
,="PRIDE-Hebron Avenue",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.9
,="PRIDE-Nayaug",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Granby School District",="Frank M. Kearns Primary School",="Special Education - Teachers and Instructors",="Certified",5.5,5.8,4.8,5.8,6.0
,="Granby Memorial High School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,5.0,6.0
,="Granby Memorial Middle School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,3.0
,="Kelly Lane Primary School",="Special Education - Teachers and Instructors",="Certified",2.5,3.0,3.0,4.0,3.0
,="Wells Road Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.5,2.0,3.0,3.0,3.0
="Greenwich School District",="Central Middle School",="Special Education - Teachers and Instructors",="Certified",6.2,6.8,5.8,6.8,5.0
,="Cos Cob School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,4.0,2.0,4.0
,="Eastern Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,6.0,5.8
,="Glenville School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.0,4.0,4.0
,="Greenwich High School",="Special Education - Teachers and Instructors",="Certified",30.0,30.5,29.0,29.9,29.7
,="Hamilton Avenue School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,9.0,8.0,9.0
,="International School At Dundee",="Special Education - Teachers and Instructors",="Certified",3.8,2.8,1.8,2.8,2.8
,="Julian Curtiss School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.0,3.0,3.0
,="New Lebanon School",="Special Education - Teachers and Instructors",="Certified",3.0,5.0,4.5,4.0,4.0
,="North Mianus School",="Special Education - Teachers and Instructors",="Certified",3.5,4.0,5.0,4.0,5.0
,="North Street School",="Special Education - Teachers and Instructors",="Certified",6.0,3.0,3.0,4.0,4.0
,="Old Greenwich School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,3.5,4.0,4.0
,="Parkway School",="Special Education - Teachers and Instructors",="Certified",2.0,2.5,3.5,4.5,4.5
,="Riverside School",="Special Education - Teachers and Instructors",="Certified",1.6,1.5,1.5,1.5,2.0
,="Western Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,6.0,6.0,6.0,5.5
="Griswold School District",="Griswold Elementary School",="Special Education - Teachers and Instructors",="Certified",8.2,11.1,11.1,11.1,12.1
,="Griswold High School",="Special Education - Teachers and Instructors",="Certified",6.0,6.1,6.1,6.1,6.1
,="Griswold Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,7.1,6.1,6.1,6.1
,="Griswold Alternative School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,3.0
="Groton School District",="Carl C. Cutler Middle School",="Special Education - Teachers and Instructors",="Certified",4.1,4.1,5.1,5.0,5.0
,="Catherine Kolnaski Magnet School",="Special Education - Teachers and Instructors",="Certified",4.2,4.1,4.1,4.3,4.3
,="Charles Barnum School",="Special Education - Teachers and Instructors",="Certified",4.7,4.8,6.3,5.5,5.5
,="Claude Chester School",="Special Education - Teachers and Instructors",="Certified",3.0,3.6,3.1,3.0,4.0
,="Fitch Middle School",="Special Education - Teachers and Instructors",="Certified",6.5,5.0,.,.,.
,"Mary Morrisson School","Special Education - Teachers and Instructors","Certified",5.3,5.8,6.0,5.5,5.0
,="Northeast Academy Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,4.6,3.6,2.5,1.0
,="Pleasant Valley School",="Special Education - Teachers and Instructors",="Certified",3.0,2.5,2.0,2.0,2.0
,="Robert E. Fitch High School",="Special Education - Teachers and Instructors",="Certified",9.2,10.0,10.8,11.0,11.0
,="S. B. Butler School",="Special Education - Teachers and Instructors",="Certified",4.1,4.5,5.0,7.5,6.0
,="West Side Middle School",="Special Education - Teachers and Instructors",="Certified",4.2,4.4,6.4,7.0,7.5
="Guilford School District",="A. Baldwin Middle School",="Special Education - Teachers and Instructors",="Certified",5.6,5.4,5.4,6.4,6.4
,="A. W. Cox School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,4.0,5.0
,="Calvin Leete School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,4.5,4.5
,="E. C. Adams Middle School",="Special Education - Teachers and Instructors",="Certified",5.2,5.6,5.6,5.6,5.6
,="Guilford High School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,9.0,9.0
,="Guilford Lakes School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.5,7.0
,="Melissa Jones School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.5,4.0
="Hamden School District",="Alice Peck Learning Center",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,7.0,7.0,7.0
,="Bear Path School",="Special Education - Teachers and Instructors",="Certified",4.0,3.1,3.0,3.5,3.5
,="Church Street School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.5,5.0
,="Dunbar Hill School",="Special Education - Teachers and Instructors",="Certified",2.0,4.0,4.0,5.0,5.0
,="Hamden High School",="Special Education - Teachers and Instructors",="Certified",15.0,14.0,14.0,13.0,13.0
,="Hamden Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,10.0,10.0,11.0
,="Helen Street School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.5,2.5
,="Ridge Hill School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.0,2.0,4.0
,="Shepherd Glen School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.0,2.0
,="Spring Glen School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.5,2.0
,="West Woods School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,4.0,3.0
,="Hamden Collaborative Learning Center",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,5.0
="Hampton School District",="Hampton Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="Hartford School District",="Asian Studies Academy",="Special Education - Teachers and Instructors",="Certified",3.0,3.5,2.5,3.5,4.0
,="Batchelder School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,6.0,7.0,6.0
,="Breakthrough II Elementary School",="Special Education - Teachers and Instructors",="Certified",0.5,.,1.0,4.0,3.0
,="Breakthrough Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.0,3.0,3.0
,="Bulkeley High School",="Special Education - Teachers and Instructors",="Certified",3.0,7.0,7.0,7.0,7.5
,="Bulkeley High School Lower School",="Special Education - Teachers and Instructors",="Certified",10.0,6.0,7.0,6.0,7.5
,="Burns Latino Studies Academy",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Burr School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,8.0,7.0,7.0
,="Capital Preparatory Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0,2.0,3.0,4.0,6.0
,="Clark School",="Special Education - Teachers and Instructors",="Certified",5.5,5.5,6.5,6.5,5.5
,="Classical Magnet School",="Special Education - Teachers and Instructors",="Certified",1.8,1.8,1.8,1.8,2.5
,="Culinary Arts Academy at Weaver High School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,5.0,4.0
,="Dr. Joseph Bellizzi Middle School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.5,2.5,.
,"Dr. Ramon E. Betances Early Reading Lab","Special Education - Teachers and Instructors","Certified",5.0,3.0,3.0,3.0,4.0
,="Environmental Sciences Magnet at Hooker School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.0,4.0,5.0
,="Expeditionary Learning Academy at Moylan School",="Special Education - Teachers and Instructors",="Certified",9.0,7.0,8.0,8.8,8.0
,="Global Communications Academy",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.0,3.0,3.0
,="HPHS Engineering and Green Technology Academy",="Special Education - Teachers and Instructors",="Certified",4.5,4.8,6.3,8.3,8.0
,="HPHS Freshmen Academy",="Special Education - Teachers and Instructors",="Certified",4.0,4.3,0.3,0.3,.
,"HPHS Law and Government Academy","Special Education - Teachers and Instructors","Certified",5.5,6.3,6.3,7.3,7.0
,="HPHS Nursing and Health Sciences Academy",="Special Education - Teachers and Instructors",="Certified",4.0,4.3,5.3,4.3,4.0
,="Hartford Magnet Trinity College Academy",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,6.0,6.0,7.0
,="Hartford Transitional Learning Academy (Elementary)",="Special Education - Teachers and Instructors",="Certified",4.0,2.0,2.0,.,.
,"Hartford Transitional Learning Academy (Secondary)","Special Education - Teachers and Instructors","Certified",1.0,1.0,.,.,.
,"High School Inc.","Special Education - Teachers and Instructors","Certified",3.0,3.0,3.0,2.0,3.0
,="Journalism and Media Academy Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,2.0,2.0
,="Kennelly School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="M. D. Fox School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,4.0,6.0,9.0
,="M. L. King, Jr. School",="Special Education - Teachers and Instructors",="Certified",6.0,7.0,8.0,6.5,3.0
,="McDonough Middle School",="Special Education - Teachers and Instructors",="Certified",4.5,5.0,4.0,2.0,4.0
,="Milner School",="Special Education - Teachers and Instructors",="Certified",3.0,3.5,4.0,3.5,4.0
,="Montessori Magnet School at Annie Fisher",="Special Education - Teachers and Instructors",="Certified",0.6,1.0,1.0,0.5,1.0
,="Naylor/CCSU Leadership Academy",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,7.0,6.0,7.0
,="OPPortunity High School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.5
,="Parkville Community School",="Special Education - Teachers and Instructors",="Certified",5.0,6.0,6.0,6.0,4.0
,="Pathways Academy of Technology and Design",="Special Education - Teachers and Instructors",="Certified",2.5,3.0,3.0,4.0,3.0
,="R.J. Kinsella Magnet School of Performing Arts",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,="Rawson School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,4.5,4.5,5.0
,="SAND School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,4.5,3.5
,="STEM Magnet at Fisher School",="Special Education - Teachers and Instructors",="Certified",2.4,3.0,3.0,3.0,3.0
,="Sanchez School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,4.0
,="Sarah J Rawson Middle Grades Academy",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.0,.,.
,"Simpson-Waverly School","Special Education - Teachers and Instructors","Certified",3.6,5.0,7.0,7.0,5.5
,="Sports and Medical Sciences Academy",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="University High of Science and Engineering",="Special Education - Teachers and Instructors",="Certified",1.0,1.5,1.0,1.4,1.4
,="Weaver High School",="Special Education - Teachers and Instructors",="Certified",3.0,1.0,.,.,.
,"Webster Micro Society Magnet School","Special Education - Teachers and Instructors","Certified",3.0,4.0,2.5,2.5,2.0
,="West Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.5
,="Wish Museum School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,5.0,5.5
,="Betances STEM Magnet School",="Special Education - Teachers and Instructors",="Certified",.,.,1.0,1.0,1.0
,="Great Path Academy High School at MCC",="Special Education - Teachers and Instructors",="Certified",.,.,2.0,2.0,1.0
,="Hartford PreKindergarten Magnet School",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
,="Montessori Magnet at Moylan School",="Special Education - Teachers and Instructors",="Certified",.,.,.,0.2,0.5
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,12.0
,="Capital Community College Magnet Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.3
,="New Visions Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Renzulli Gifted and Talented Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.3
="Hartland School District",="Hartland School",="Special Education - Teachers and Instructors",="Certified",1.1,.,1.0,1.0,.
"Hebron School District","Gilead Hill School","Special Education - Teachers and Instructors","Certified",5.5,5.5,4.3,4.5,4.5
,="Hebron Elementary School",="Special Education - Teachers and Instructors",="Certified",5.5,5.8,6.0,6.0,6.0
="Integrated Day Charter School District",="Integrated Day Charter School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Interdistrict School for Arts and Comm District",="Interdistrict School For Arts And Communication",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.1,5.0,6.0
="Jumoke Academy District",="Jumoke Academy",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,1.0,2.0,4.4
="Kent School District",="Kent Center School",="Special Education - Teachers and Instructors",="Certified",3.5,2.5,3.5,2.5,3.5
="Killingly School District",="Goodyear Early Childhood Center",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Killingly Central School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,4.0,4.0
,="Killingly High School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,7.0,7.0
,="Killingly Intermediate School",="Special Education - Teachers and Instructors",="Certified",10.0,9.0,9.0,9.0,9.0
,="Killingly Memorial School",="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,4.0,3.0
="Learn",="Learn Special Education",="Special Education - Teachers and Instructors",="Certified",19.5,12.5,14.5,14.3,4.0
,="Regional Multicultural Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.4,4.4,5.0
,="The Friendship School",="Special Education - Teachers and Instructors",="Certified",5.6,5.6,4.6,5.0,3.0
,="Connecticut River Academy",="Special Education - Teachers and Instructors",="Certified",.,2.0,2.0,4.0,3.6
,="Dual Language & Arts Magnet Middle School",="Special Education - Teachers and Instructors",="Certified",.,1.0,2.0,2.0,1.0
,="Marine Science Magnet High School of Southeastern Connecticut",="Special Education - Teachers and Instructors",="Certified",.,1.0,2.0,3.0,3.0
,="LEARN ABA Program at Center School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,="LEARN SAILS Program at Salem",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn Haynes Elementary Intensive Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,="Learn High School ABA",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn Kelly Middle School Intensive Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn Ledyard RICHES Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn SAILS Middle School Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn STS 18-21 Year Old Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Riverside Magnet School at Goodwin College",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Three Rivers Middle College Magnet School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Lebanon School District",="Lebanon Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.0,5.0
,="Lebanon Middle School",="Special Education - Teachers and Instructors",="Certified",4.2,4.0,4.0,5.0,4.0
,="Lyman Memorial High School",="Special Education - Teachers and Instructors",="Certified",2.8,3.4,3.4,3.0,3.6
="Ledyard School District",="Gales Ferry School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Gallup Hill School",="Special Education - Teachers and Instructors",="Certified",6.0,6.5,6.5,6.0,6.0
,="Juliet W. Long School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.5,3.0,3.0
,="Ledyard Center School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,2.0,2.0
,="Ledyard High School",="Special Education - Teachers and Instructors",="Certified",7.0,7.5,8.0,8.0,7.0
,="Ledyard Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
="Lisbon School District",="Lisbon Central School",="Special Education - Teachers and Instructors",="Certified",6.0,7.0,7.0,6.0,6.3
,="Community Connection - The Big Picture High School",="Special Education - Teachers and Instructors",="Certified",.,0.4,0.4,.,.
