"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
,="Beardsley School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,4.0,4.0,3.0
,="Black Rock School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,4.0,6.0,4.5
,="Blackham School",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,8.0,7.0,8.0
,="Bridgeport Learning Center",="Special Education - Teachers and Instructors",="Certified",12.0,11.0,12.0,13.0,13.5
,="Bryant School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,="Central High School",="Special Education - Teachers and Instructors",="Certified",11.5,12.5,14.0,14.0,14.9
,="Cesar Batalla School",="Special Education - Teachers and Instructors",="Certified",10.0,11.0,9.0,8.0,6.5
,="Classical Studies Academy",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,2.0,3.0
,="Columbus School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,5.0,3.5
,="Cross School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,6.0,6.0,4.5
,="Curiale School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,5.0,5.0,4.0
,="Dunbar School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,1.0,2.0
,="Edison School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,4.0,4.0
,="Geraldine Johnson School",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,9.0,9.0,8.0
,="Hall School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,1.0,2.0,1.0
,="Hallen School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,2.0,4.0,3.5
,="Harding High School",="Special Education - Teachers and Instructors",="Certified",10.0,11.0,10.0,9.0,11.0
,="High Horizons Magnet School",="Special Education - Teachers and Instructors",="Certified",0.5,1.0,2.0,1.5,2.0
,="Hooker School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,4.0,5.0,4.5
,="Jettie S. Tisdale School",="Special Education - Teachers and Instructors",="Certified",12.5,14.5,13.0,13.0,11.5
,="Longfellow School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,1.0,.,.
,"Luis Munoz Marin School","Special Education - Teachers and Instructors","Certified",9.0,8.0,7.0,6.0,3.0
,="Madison School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,7.0,6.0,7.0
,="Multicultural Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,2.5,2.0
,="New Start Program",="Special Education - Teachers and Instructors",="Certified",1.5,.,.,.,.
,"Park City Magnet School","Special Education - Teachers and Instructors","Certified",3.0,3.0,4.0,4.0,3.8
,="Read School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,4.0,4.0,5.0
,="Roosevelt School",="Special Education - Teachers and Instructors",="Certified",8.0,6.0,4.0,2.0,2.0
,="Skane Center",="Special Education - Teachers and Instructors",="Certified",19.0,18.0,17.0,15.0,14.0
,="The University School",="Special Education - Teachers and Instructors",="Certified",1.5,4.0,.,.,.
,"Waltersville School","Special Education - Teachers and Instructors","Certified",6.0,6.0,5.0,7.0,6.0
,="Winthrop School",="Special Education - Teachers and Instructors",="Certified",5.0,3.0,3.0,4.0,4.0
,="Interdistrict Discovery Magnet School",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,2.0,1.0
,="Make The Grade",="Special Education - Teachers and Instructors",="Certified",.,0.5,.,.,.
,"Park City Academy","Special Education - Teachers and Instructors","Certified",.,1.5,1.0,1.0,.
,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Special Education - Teachers and Instructors","Certified",.,.,.,1.0,1.5
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.5
,="Bridgeport Military Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,2.0
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
