"FTE Staffing Report for 2010-11"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Spring Glen School",="General Education - Teachers and Instructors",="Certified",23.3
,="West Woods School",="General Education - Teachers and Instructors",="Certified",30.5
="Hampton School District",="Hampton Elementary School",="General Education - Teachers and Instructors",="Certified",12.1
="Hartford School District",="Asian Studies Academy",="General Education - Teachers and Instructors",="Certified",35.7
,="Batchelder School",="General Education - Teachers and Instructors",="Certified",30.5
,="Breakthrough II Elementary School",="General Education - Teachers and Instructors",="Certified",8.1
,="Breakthrough Magnet School",="General Education - Teachers and Instructors",="Certified",22.6
,="Bulkeley High School",="General Education - Teachers and Instructors",="Certified",11.0
,="Bulkeley High School Lower School",="General Education - Teachers and Instructors",="Certified",45.0
,="Burns Latino Studies Academy",="General Education - Teachers and Instructors",="Certified",38.3
,="Burr School",="General Education - Teachers and Instructors",="Certified",37.9
,="Capital Preparatory Magnet School",="General Education - Teachers and Instructors",="Certified",21.0
,="Clark School",="General Education - Teachers and Instructors",="Certified",24.5
,="Classical Magnet School",="General Education - Teachers and Instructors",="Certified",50.0
,="Culinary Arts Academy at Weaver High School",="General Education - Teachers and Instructors",="Certified",16.5
,="Dr. Joseph Bellizzi Middle School",="General Education - Teachers and Instructors",="Certified",8.5
,="Dr. Ramon E. Betances Early Reading Lab",="General Education - Teachers and Instructors",="Certified",20.9
,="Environmental Sciences Magnet at Hooker School",="General Education - Teachers and Instructors",="Certified",21.3
,="Expeditionary Learning Academy at Moylan School",="General Education - Teachers and Instructors",="Certified",34.0
,="Global Communications Academy",="General Education - Teachers and Instructors",="Certified",24.6
,="HPHS Engineering and Green Technology Academy",="General Education - Teachers and Instructors",="Certified",23.0
,="HPHS Freshmen Academy",="General Education - Teachers and Instructors",="Certified",22.2
,="HPHS Law and Government Academy",="General Education - Teachers and Instructors",="Certified",22.0
,="HPHS Nursing and Health Sciences Academy",="General Education - Teachers and Instructors",="Certified",23.5
,="Hartford Magnet Trinity College Academy",="General Education - Teachers and Instructors",="Certified",52.0
,="Hartford Transitional Learning Academy (Elementary)",="General Education - Teachers and Instructors",="Certified",1.0
,="High School Inc.",="General Education - Teachers and Instructors",="Certified",18.6
,="Journalism and Media Academy Magnet School",="General Education - Teachers and Instructors",="Certified",13.5
,="Kennelly School",="General Education - Teachers and Instructors",="Certified",42.2
,="M. D. Fox School",="General Education - Teachers and Instructors",="Certified",44.8
,="M. L. King, Jr. School",="General Education - Teachers and Instructors",="Certified",28.0
,="McDonough Middle School",="General Education - Teachers and Instructors",="Certified",24.0
,="Milner School",="General Education - Teachers and Instructors",="Certified",25.0
,="Montessori Magnet School at Annie Fisher",="General Education - Teachers and Instructors",="Certified",8.4
,="Naylor/CCSU Leadership Academy",="General Education - Teachers and Instructors",="Certified",36.3
,="OPPortunity High School",="General Education - Teachers and Instructors",="Certified",11.5
,="Parkville Community School",="General Education - Teachers and Instructors",="Certified",28.5
,="Pathways Academy of Technology and Design",="General Education - Teachers and Instructors",="Certified",25.8
,="R.J. Kinsella Magnet School of Performing Arts",="General Education - Teachers and Instructors",="Certified",46.0
,="Rawson School",="General Education - Teachers and Instructors",="Certified",31.0
,="SAND School",="General Education - Teachers and Instructors",="Certified",27.0
,="STEM Magnet at Fisher School",="General Education - Teachers and Instructors",="Certified",24.0
,="Sanchez School",="General Education - Teachers and Instructors",="Certified",29.1
,="Sarah J Rawson Middle Grades Academy",="General Education - Teachers and Instructors",="Certified",10.5
,="Simpson-Waverly School",="General Education - Teachers and Instructors",="Certified",28.5
,="Sports and Medical Sciences Academy",="General Education - Teachers and Instructors",="Certified",45.0
,="University High of Science and Engineering",="General Education - Teachers and Instructors",="Certified",26.0
,="Weaver High School",="General Education - Teachers and Instructors",="Certified",9.0
,="Webster Micro Society Magnet School",="General Education - Teachers and Instructors",="Certified",38.4
,="West Middle School",="General Education - Teachers and Instructors",="Certified",42.0
,="Wish Museum School",="General Education - Teachers and Instructors",="Certified",26.6
="Hartland School District",="Hartland School",="General Education - Teachers and Instructors",="Certified",17.9
="Hebron School District",="Gilead Hill School",="General Education - Teachers and Instructors",="Certified",24.5
,="Hebron Elementary School",="General Education - Teachers and Instructors",="Certified",40.7
="Highville Charter School District",="Highville Charter School",="General Education - Teachers and Instructors",="Certified",19.0
="Integrated Day Charter School District",="Integrated Day Charter School",="General Education - Teachers and Instructors",="Certified",18.5
="Interdistrict School for Arts and Comm District",="Interdistrict School For Arts And Communication",="General Education - Teachers and Instructors",="Certified",13.4
="Jumoke Academy District",="Jumoke Academy",="General Education - Teachers and Instructors",="Certified",26.0
="Kent School District",="Kent Center School",="General Education - Teachers and Instructors",="Certified",24.7
="Killingly School District",="Goodyear Early Childhood Center",="General Education - Teachers and Instructors",="Certified",6.0
,="Killingly Central School",="General Education - Teachers and Instructors",="Certified",28.0
,="Killingly High School",="General Education - Teachers and Instructors",="Certified",59.8
,="Killingly Intermediate School",="General Education - Teachers and Instructors",="Certified",54.0
,="Killingly Memorial School",="General Education - Teachers and Instructors",="Certified",28.0
="Learn",="Connecticut River Academy",="General Education - Teachers and Instructors",="Certified",11.0
,="Dual Language & Arts Magnet Middle School",="General Education - Teachers and Instructors",="Certified",4.3
,="Learn Special Education",="General Education - Teachers and Instructors",="Certified",0.9
,="Regional Multicultural Magnet School",="General Education - Teachers and Instructors",="Certified",33.2
,="The Friendship School",="General Education - Teachers and Instructors",="Certified",29.0
="Lebanon School District",="Lebanon Elementary School",="General Education - Teachers and Instructors",="Certified",29.0
,="Lebanon Middle School",="General Education - Teachers and Instructors",="Certified",26.9
,="Lyman Memorial High School",="General Education - Teachers and Instructors",="Certified",39.2
="Ledyard School District",="Gales Ferry School",="General Education - Teachers and Instructors",="Certified",13.1
,="Gallup Hill School",="General Education - Teachers and Instructors",="Certified",18.5
,="Juliet W. Long School",="General Education - Teachers and Instructors",="Certified",17.4
,="Ledyard Center School",="General Education - Teachers and Instructors",="Certified",24.4
,="Ledyard High School",="General Education - Teachers and Instructors",="Certified",60.7
,="Ledyard Middle School",="General Education - Teachers and Instructors",="Certified",25.0
="Lisbon School District",="Community Connection - The Big Picture High School",="General Education - Teachers and Instructors",="Certified",2.1
,="Lisbon Central School",="General Education - Teachers and Instructors",="Certified",34.5
="Litchfield School District",="Center School",="General Education - Teachers and Instructors",="Certified",25.0
,="Litchfield High School",="General Education - Teachers and Instructors",="Certified",44.1
,="Litchfield Intermediate School",="General Education - Teachers and Instructors",="Certified",16.8
="Madison School District",="Daniel Hand High School",="General Education - Teachers and Instructors",="Certified",87.3
,="Dr. Robert H. Brown Middle School",="General Education - Teachers and Instructors",="Certified",41.1
,="Island Avenue Elementary School",="General Education - Teachers and Instructors",="Certified",18.2
,="J. Milton Jeffrey Elementary School",="General Education - Teachers and Instructors",="Certified",28.5
,="Kathleen H. Ryerson Elementary School",="General Education - Teachers and Instructors",="Certified",19.2
,="Walter C. Polson Upper Middle School",="General Education - Teachers and Instructors",="Certified",44.2
="Manchester School District",="Nathan Hale School",="General Education - Teachers and Instructors",="Certified",15.4
,="Bowers School",="General Education - Teachers and Instructors",="Certified",24.0
,="Buckley School",="General Education - Teachers and Instructors",="Certified",19.1
,="Elisabeth M. Bennet Academy",="General Education - Teachers and Instructors",="Certified",29.0
,="Highland Park School",="General Education - Teachers and Instructors",="Certified",15.6
,="Illing Middle School",="General Education - Teachers and Instructors",="Certified",65.0
,="Keeney School",="General Education - Teachers and Instructors",="Certified",22.4
,="Manchester High School",="General Education - Teachers and Instructors",="Certified",140.0
,="Manchester Preschool Center",="General Education - Teachers and Instructors",="Certified",8.7
,="Manchester Regional Academy",="General Education - Teachers and Instructors",="Certified",4.5
,="Martin School",="General Education - Teachers and Instructors",="Certified",16.7
,="Robertson School",="General Education - Teachers and Instructors",="Certified",22.0
,="Verplanck School",="General Education - Teachers and Instructors",="Certified",21.7
,="Waddell School",="General Education - Teachers and Instructors",="Certified",20.0
,="Washington School",="General Education - Teachers and Instructors",="Certified",22.4
="Mansfield School District",="Annie E. Vinton School",="General Education - Teachers and Instructors",="Certified",19.6
,="Dorothy C. Goodwin School",="General Education - Teachers and Instructors",="Certified",15.8
,="Mansfield Middle School School",="General Education - Teachers and Instructors",="Certified",46.8
,="Southeast Elementary School",="General Education - Teachers and Instructors",="Certified",19.1
="Marlborough School District",="Elmer Thienes-Mary Hall Elementary School",="General Education - Teachers and Instructors",="Certified",39.5
="Meriden School District",="Nathan Hale School",="General Education - Teachers and Instructors",="Certified",32.2
,="Benjamin Franklin School",="General Education - Teachers and Instructors",="Certified",21.4
,="Casimir Pulaski School",="General Education - Teachers and Instructors",="Certified",36.1
,="Francis T. Maloney High School",="General Education - Teachers and Instructors",="Certified",77.3
,="Hanover School",="General Education - Teachers and Instructors",="Certified",26.7
,="Israel Putnam School",="General Education - Teachers and Instructors",="Certified",27.8
,="John Barry School",="General Education - Teachers and Instructors",="Certified",29.6
,="Lincoln Middle School",="General Education - Teachers and Instructors",="Certified",45.2
,="Orville H. Platt High School",="General Education - Teachers and Instructors",="Certified",68.6
,="Roger Sherman School",="General Education - Teachers and Instructors",="Certified",29.7
,="Thomas Hooker School",="General Education - Teachers and Instructors",="Certified",25.1
,="Washington Middle School",="General Education - Teachers and Instructors",="Certified",58.9
="Middletown School District",="Bielefield School",="General Education - Teachers and Instructors",="Certified",22.9
,="Farm Hill School",="General Education - Teachers and Instructors",="Certified",22.9
,="Keigwin Middle School",="General Education - Teachers and Instructors",="Certified",22.4
,="Lawrence School",="General Education - Teachers and Instructors",="Certified",19.6
,="MacDonough School",="General Education - Teachers and Instructors",="Certified",15.1
,="Middletown High School",="General Education - Teachers and Instructors",="Certified",87.0
,="Moody School",="General Education - Teachers and Instructors",="Certified",20.8
,="Snow School",="General Education - Teachers and Instructors",="Certified",16.0
,="Spencer School",="General Education - Teachers and Instructors",="Certified",22.0
,="Wesley School",="General Education - Teachers and Instructors",="Certified",18.4
,="Woodrow Wilson Middle School",="General Education - Teachers and Instructors",="Certified",46.9
="Milford School District",="Calf Pen Meadow School",="General Education - Teachers and Instructors",="Certified",21.8
,="East Shore Middle School",="General Education - Teachers and Instructors",="Certified",44.0
,="Harborside Middle School",="General Education - Teachers and Instructors",="Certified",43.7
,="J. F. Kennedy School",="General Education - Teachers and Instructors",="Certified",27.4
,="Jonathan Law High School",="General Education - Teachers and Instructors",="Certified",61.6
,="Joseph A. Foran High School",="General Education - Teachers and Instructors",="Certified",62.9
,="Live Oaks School",="General Education - Teachers and Instructors",="Certified",21.8
,="Mathewson School",="General Education - Teachers and Instructors",="Certified",30.4
,="Meadowside School",="General Education - Teachers and Instructors",="Certified",26.8
,="Orange Avenue School",="General Education - Teachers and Instructors",="Certified",21.6
,="Orchard Hills School",="General Education - Teachers and Instructors",="Certified",21.1
,="Pumpkin Delight School",="General Education - Teachers and Instructors",="Certified",24.1
,="The Academy",="General Education - Teachers and Instructors",="Certified",4.7
,="West Shore Middle School",="General Education - Teachers and Instructors",="Certified",43.8
="Monroe School District",="Chalk Hill School",="General Education - Teachers and Instructors",="Certified",13.8
,="Fawn Hollow Elementary School",="General Education - Teachers and Instructors",="Certified",33.9
,="Jockey Hollow School",="General Education - Teachers and Instructors",="Certified",36.9
,="Masuk High School",="General Education - Teachers and Instructors",="Certified",77.3
,="Monroe Elementary School",="General Education - Teachers and Instructors",="Certified",21.3
,="Stepney Elementary School",="General Education - Teachers and Instructors",="Certified",28.4
="Montville School District",="Dr. Charles E. Murphy School",="General Education - Teachers and Instructors",="Certified",24.0
,="Leonard J. Tyl Middle School",="General Education - Teachers and Instructors",="Certified",45.0
,="Mohegan School",="General Education - Teachers and Instructors",="Certified",26.0
,="Montville High School",="General Education - Teachers and Instructors",="Certified",59.5
,="Oakdale School",="General Education - Teachers and Instructors",="Certified",23.0
,="Palmer Academy",="General Education - Teachers and Instructors",="Certified",0.4
="Naugatuck School District",="Andrew Avenue School",="General Education - Teachers and Instructors",="Certified",11.1
,="Central Avenue Preschool",="General Education - Teachers and Instructors",="Certified",0.4
,="Central Avenue School",="General Education - Teachers and Instructors",="Certified",13.5
,="City Hill Middle School",="General Education - Teachers and Instructors",="Certified",40.0
,="Cross Street Intermediate School",="General Education - Teachers and Instructors",="Certified",16.5
,="Hillside Intermediate School",="General Education - Teachers and Instructors",="Certified",20.5
,="Hop Brook Elementary School",="General Education - Teachers and Instructors",="Certified",18.4
,="Maple Hill School",="General Education - Teachers and Instructors",="Certified",20.4
,="Naugatuck High School",="General Education - Teachers and Instructors",="Certified",75.3
,="Salem School",="General Education - Teachers and Instructors",="Certified",10.6
,="Western School",="General Education - Teachers and Instructors",="Certified",15.6
="New Beginnings Inc Family Academy District",="New Beginnings Inc., Family Academy",="General Education - Teachers and Instructors",="Certified",24.7
="New Britain School District",="Chamberlain Elementary School",="General Education - Teachers and Instructors",="Certified",25.8
,="Frank J. DiLoreto School",="General Education - Teachers and Instructors",="Certified",46.5
,="Gaffney School",="General Education - Teachers and Instructors",="Certified",21.5
,="Holmes School",="General Education - Teachers and Instructors",="Certified",25.4
,="House of Arts Letters and Science (HALS) Academy",="General Education - Teachers and Instructors",="Certified",8.2
,="Jefferson School",="General Education - Teachers and Instructors",="Certified",21.0
,="Lincoln School",="General Education - Teachers and Instructors",="Certified",32.8
,="New Britain High School",="General Education - Teachers and Instructors",="Certified",144.5
,="Northend School",="General Education - Teachers and Instructors",="Certified",15.6
,="Pulaski Middle School",="General Education - Teachers and Instructors",="Certified",35.7
,="Roosevelt Middle School",="General Education - Teachers and Instructors",="Certified",28.8
,="Slade Middle School",="General Education - Teachers and Instructors",="Certified",30.9
,="Smalley Academy",="General Education - Teachers and Instructors",="Certified",40.0
,="Smith School",="General Education - Teachers and Instructors",="Certified",33.3
,="Vance School",="General Education - Teachers and Instructors",="Certified",27.9
="New Canaan School District",="East School",="General Education - Teachers and Instructors",="Certified",36.2
,="New Canaan High School",="General Education - Teachers and Instructors",="Certified",82.3
,="Saxe Middle School",="General Education - Teachers and Instructors",="Certified",94.8
,="South School",="General Education - Teachers and Instructors",="Certified",39.0
,="West School",="General Education - Teachers and Instructors",="Certified",33.6
="New Fairfield School District",="Consolidated School",="General Education - Teachers and Instructors",="Certified",31.7
,="Meeting House Hill School",="General Education - Teachers and Instructors",="Certified",37.2
,="New Fairfield High School",="General Education - Teachers and Instructors",="Certified",65.2
,="New Fairfield Middle School",="General Education - Teachers and Instructors",="Certified",44.1
="New Hartford School District",="Ann Antolini School",="General Education - Teachers and Instructors",="Certified",20.6
,="Bakerville Consolidated School",="General Education - Teachers and Instructors",="Certified",5.2
,="New Hartford Elementary School",="General Education - Teachers and Instructors",="Certified",7.1
="New Haven School District",="Edgewood School",="General Education - Teachers and Instructors",="Certified",24.5
,="Nathan Hale School",="General Education - Teachers and Instructors",="Certified",28.6
,="Augusta Lewis Troup School",="General Education - Teachers and Instructors",="Certified",32.2
,="Barnard Environmental Magnet School",="General Education - Teachers and Instructors",="Certified",36.5
,="Beecher School",="General Education - Teachers and Instructors",="Certified",29.4
,="Benjamin Jepson Magnet School",="General Education - Teachers and Instructors",="Certified",31.9
,="Betsy Ross Arts Magnet School",="General Education - Teachers and Instructors",="Certified",37.1
,="Bishop Woods School",="General Education - Teachers and Instructors",="Certified",20.5
,="Brennan Rogers School",="General Education - Teachers and Instructors",="Certified",33.8
,="Celentano BioTech, Health and Medical Magnet School",="General Education - Teachers and Instructors",="Certified",23.9
,="Clemente Leadership Academy",="General Education - Teachers and Instructors",="Certified",29.5
,="Clinton Avenue School",="General Education - Teachers and Instructors",="Certified",31.2
,="Columbus Family Academy",="General Education - Teachers and Instructors",="Certified",22.9
,="Conte/West Hills Magnet School",="General Education - Teachers and Instructors",="Certified",40.2
,="Cooperative High School",="General Education - Teachers and Instructors",="Certified",49.0
,="Cortlandt V.R. Creed Health and Sport Sciences High School",="General Education - Teachers and Instructors",="Certified",13.5
,="Davis 21st Century Magnet Elementary School",="General Education - Teachers and Instructors",="Certified",25.0
,="Domus Academy",="General Education - Teachers and Instructors",="Certified",7.0
,="East Rock Community Magnet School",="General Education - Teachers and Instructors",="Certified",32.9
,="Engineering - Science University Magnet School",="General Education - Teachers and Instructors",="Certified",17.1
,="Fair Haven School",="General Education - Teachers and Instructors",="Certified",50.7
,="Headstart",="General Education - Teachers and Instructors",="Certified",11.0
,="Helene Grant HeadStart",="General Education - Teachers and Instructors",="Certified",1.6
,="High School In The Community",="General Education - Teachers and Instructors",="Certified",24.9
,="Hill Central Music Academy",="General Education - Teachers and Instructors",="Certified",31.5
,="Hill Regional Career High School",="General Education - Teachers and Instructors",="Certified",52.2
,="James Hillhouse High School",="General Education - Teachers and Instructors",="Certified",77.6
,="John C. Daniels",="General Education - Teachers and Instructors",="Certified",35.2
,="John S. Martinez School",="General Education - Teachers and Instructors",="Certified",32.2
,="King/Robinson Magnet School",="General Education - Teachers and Instructors",="Certified",37.2
,="Lincoln-Bassett School",="General Education - Teachers and Instructors",="Certified",24.7
,="Mauro-Sheridan Magnet School",="General Education - Teachers and Instructors",="Certified",40.7
,="Metropolitan Business Academy",="General Education - Teachers and Instructors",="Certified",25.4
,="New Haven Academy",="General Education - Teachers and Instructors",="Certified",16.8
,="Polly T. McCabe Center",="General Education - Teachers and Instructors",="Certified",4.6
,="Riverside Education Academy",="General Education - Teachers and Instructors",="Certified",12.4
,="Ross/Woodward School",="General Education - Teachers and Instructors",="Certified",35.0
,="Sound School",="General Education - Teachers and Instructors",="Certified",35.2
,="Strong 21st Century Communications Magnet and SCSU Lab School",="General Education - Teachers and Instructors",="Certified",13.2
,="Truman School",="General Education - Teachers and Instructors",="Certified",27.2
,="West Rock Authors Academy",="General Education - Teachers and Instructors",="Certified",14.2
,="Wexler/Grant Community School",="General Education - Teachers and Instructors",="Certified",26.6
,="Wilbur Cross High School",="General Education - Teachers and Instructors",="Certified",107.8
,="Worthington Hooker School",="General Education - Teachers and Instructors",="Certified",24.5
="New London School District",="Jennings School",="General Education - Teachers and Instructors",="Certified",29.0
,="Bennie Dover Jackson Middle School",="General Education - Teachers and Instructors",="Certified",43.8
,="Harbor School",="General Education - Teachers and Instructors",="Certified",14.7
,="Nathan Hale Arts Magnet School",="General Education - Teachers and Instructors",="Certified",15.7
,="New London High School",="General Education - Teachers and Instructors",="Certified",62.4
,="Shoreline Academy",="General Education - Teachers and Instructors",="Certified",5.0
,="Winthrop STEM Elementary Magnet School",="General Education - Teachers and Instructors",="Certified",13.1
="New Milford School District",="Hill And Plain School",="General Education - Teachers and Instructors",="Certified",25.1
,="John Pettibone School",="General Education - Teachers and Instructors",="Certified",22.1
,="New Milford High School",="General Education - Teachers and Instructors",="Certified",88.3
,="Northville Elementary School",="General Education - Teachers and Instructors",="Certified",26.4
,="Sarah Noble Intermediate School",="General Education - Teachers and Instructors",="Certified",58.9
,="Schaghticoke Middle School",="General Education - Teachers and Instructors",="Certified",47.3
="Newington School District",="Anna Reynolds School",="General Education - Teachers and Instructors",="Certified",28.0
,="Elizabeth Green School",="General Education - Teachers and Instructors",="Certified",20.2
,="John Paterson School",="General Education - Teachers and Instructors",="Certified",32.2
,="John Wallace Middle School",="General Education - Teachers and Instructors",="Certified",48.1
,="Martin Kellogg Middle School",="General Education - Teachers and Instructors",="Certified",42.0
,="Newington High School",="General Education - Teachers and Instructors",="Certified",86.2
,="Ruth Chaffee School",="General Education - Teachers and Instructors",="Certified",26.4
="Newtown School District",="Hawley Elementary School",="General Education - Teachers and Instructors",="Certified",22.0
,="Head O'Meadow Elementary School",="General Education - Teachers and Instructors",="Certified",21.6
,="Middle Gate Elementary School",="General Education - Teachers and Instructors",="Certified",27.5
,="Newtown High School",="General Education - Teachers and Instructors",="Certified",106.2
,="Newtown Middle School",="General Education - Teachers and Instructors",="Certified",62.4
,="Reed Intermediate School",="General Education - Teachers and Instructors",="Certified",49.1
,="Sandy Hook Elementary School",="General Education - Teachers and Instructors",="Certified",32.6
="Norfolk School District",="Botelle Elementary School",="General Education - Teachers and Instructors",="Certified",10.1
="North Branford School District",="Jerome Harrison School",="General Education - Teachers and Instructors",="Certified",23.8
,="North Branford High School",="General Education - Teachers and Instructors",="Certified",49.7
,="North Branford Intermediate School",="General Education - Teachers and Instructors",="Certified",36.6
,="Totoket Valley Elementary School",="General Education - Teachers and Instructors",="Certified",28.7
="North Canaan School District",="North Canaan Elementary School",="General Education - Teachers and Instructors",="Certified",28.6
="North Haven School District",="Clintonville Elementary School",="General Education - Teachers and Instructors",="Certified",24.7
,="Green Acres Elementary School",="General Education - Teachers and Instructors",="Certified",23.7
,="Montowese Elementary School",="General Education - Teachers and Instructors",="Certified",25.2
,="North Haven High School",="General Education - Teachers and Instructors",="Certified",78.6
,="North Haven Middle School",="General Education - Teachers and Instructors",="Certified",58.0
,="Ridge Road Elementary School",="General Education - Teachers and Instructors",="Certified",24.2
="North Stonington School District",="North Stonington Elementary School",="General Education - Teachers and Instructors",="Certified",24.2
,="Wheeler High School",="General Education - Teachers and Instructors",="Certified",22.0
,="Wheeler Middle School",="General Education - Teachers and Instructors",="Certified",18.4
="Norwalk School District",="Brien McMahon High School",="General Education - Teachers and Instructors",="Certified",104.6
,="Brookside Elementary School",="General Education - Teachers and Instructors",="Certified",29.3
,="Columbus Magnet School",="General Education - Teachers and Instructors",="Certified",20.7
,="Cranbury Elementary School",="General Education - Teachers and Instructors",="Certified",27.7
,="Fox Run Elementary School",="General Education - Teachers and Instructors",="Certified",27.3
,="Jefferson Magnet School",="General Education - Teachers and Instructors",="Certified",34.9
,="Kendall Elementary School",="General Education - Teachers and Instructors",="Certified",29.8
,="Marvin Elementary School",="General Education - Teachers and Instructors",="Certified",26.5
,="Naramake Elementary School",="General Education - Teachers and Instructors",="Certified",23.8
,="Nathan Hale Middle School",="General Education - Teachers and Instructors",="Certified",44.6
,="Norwalk High School",="General Education - Teachers and Instructors",="Certified",95.9
,="Norwalk Pathways Academy at Briggs",="General Education - Teachers and Instructors",="Certified",10.1
,="Ponus Ridge Middle School",="General Education - Teachers and Instructors",="Certified",50.1
,="Roton Middle School",="General Education - Teachers and Instructors",="Certified",38.8
,="Rowayton School",="General Education - Teachers and Instructors",="Certified",25.1
,="Silvermine Elementary School",="General Education - Teachers and Instructors",="Certified",23.1
,="Tracey School",="General Education - Teachers and Instructors",="Certified",25.5
,="West Rocks Middle School",="General Education - Teachers and Instructors",="Certified",48.8
,="Wolfpit School",="General Education - Teachers and Instructors",="Certified",19.6
="Norwich Free Academy District",="Norwich Free Academy",="General Education - Teachers and Instructors",="Certified",136.3
="Norwich School District",="Deborah-Tennant Zinewicz School",="General Education - Teachers and Instructors",="Certified",2.0
,="Hickory Street School",="General Education - Teachers and Instructors",="Certified",1.0
,="John B. Stanton Network School",="General Education - Teachers and Instructors",="Certified",20.1
,="Kelly Middle School",="General Education - Teachers and Instructors",="Certified",40.0
,="Moriarty Magnet School",="General Education - Teachers and Instructors",="Certified",25.4
,="Samuel Huntington School",="General Education - Teachers and Instructors",="Certified",19.0
,="Teachers' Memorial Middle School",="General Education - Teachers and Instructors",="Certified",31.0
,="Thames River Academy",="General Education - Teachers and Instructors",="Certified",5.1
,="Thomas W. Mahan School",="General Education - Teachers and Instructors",="Certified",13.5
,="Uncas Network School",="General Education - Teachers and Instructors",="Certified",15.5
,="Veterans' Memorial School",="General Education - Teachers and Instructors",="Certified",17.8
,="Wequonnoc Magnet School",="General Education - Teachers and Instructors",="Certified",12.2
="Odyssey Community School District",="Odyssey Community School",="General Education - Teachers and Instructors",="Certified",13.3
="Old Saybrook School District",="Kathleen E. Goodwin School",="General Education - Teachers and Instructors",="Certified",33.3
,="Old Saybrook Middle School",="General Education - Teachers and Instructors",="Certified",39.6
,="Old Saybrook Senior High School",="General Education - Teachers and Instructors",="Certified",38.1
="Orange School District",="Mary L. Tracy School",="General Education - Teachers and Instructors",="Certified",9.8
,="Peck Place School",="General Education - Teachers and Instructors",="Certified",28.6
,="Race Brook School",="General Education - Teachers and Instructors",="Certified",28.3
,="Turkey Hill School",="General Education - Teachers and Instructors",="Certified",22.9
="Oxford School District",="Great Oak School",="General Education - Teachers and Instructors",="Certified",32.5
,="Oxford Center School",="General Education - Teachers and Instructors",="Certified",28.0
,="Oxford High School",="General Education - Teachers and Instructors",="Certified",39.8
,="Quaker Farms School",="General Education - Teachers and Instructors",="Certified",23.5
="Park City Prep Charter School District",="Park City Prep Charter School",="General Education - Teachers and Instructors",="Certified",16.0
="Plainfield School District",="Moosup Elementary School",="General Education - Teachers and Instructors",="Certified",19.4
,="Plainfield Central School",="General Education - Teachers and Instructors",="Certified",33.0
,="Plainfield High School",="General Education - Teachers and Instructors",="Certified",52.0
,="Plainfield Memorial School",="General Education - Teachers and Instructors",="Certified",21.2
,="Shepard Hill Elementary School",="General Education - Teachers and Instructors",="Certified",23.5
="Plainville School District",="Frank T. Wheeler School",="General Education - Teachers and Instructors",="Certified",21.2
,="Linden Street School",="General Education - Teachers and Instructors",="Certified",26.4
,="Louis Toffolon School",="General Education - Teachers and Instructors",="Certified",22.9
,="Middle School of Plainville",="General Education - Teachers and Instructors",="Certified",41.2
,="Plainville High School",="General Education - Teachers and Instructors",="Certified",59.4
="Plymouth School District",="Eli Terry Jr. Middle School",="General Education - Teachers and Instructors",="Certified",30.4
,="Harry S. Fisher Elementary School",="General Education - Teachers and Instructors",="Certified",24.0
,="Plymouth Center School",="General Education - Teachers and Instructors",="Certified",24.4
,="Terryville High School",="General Education - Teachers and Instructors",="Certified",36.1
="Pomfret School District",="Pomfret Community School",="General Education - Teachers and Instructors",="Certified",38.0
="Portland School District",="Brownstone Intermediate School",="General Education - Teachers and Instructors",="Certified",13.6
,="Gildersleeve School",="General Education - Teachers and Instructors",="Certified",14.0
,="Portland High School",="General Education - Teachers and Instructors",="Certified",26.3
,="Portland Middle School",="General Education - Teachers and Instructors",="Certified",18.3
,="Valley View School",="General Education - Teachers and Instructors",="Certified",18.6
="Preston School District",="Preston Plains School",="General Education - Teachers and Instructors",="Certified",11.3
,="Preston Veterans' Memorial School",="General Education - Teachers and Instructors",="Certified",21.4
="Putnam School District",="Putnam Elementary School",="General Education - Teachers and Instructors",="Certified",38.7
,="Putnam High School",="General Education - Teachers and Instructors",="Certified",25.3
,="Putnam Middle School",="General Education - Teachers and Instructors",="Certified",18.3
="Redding School District",="John Read Middle School",="General Education - Teachers and Instructors",="Certified",44.0
,="Redding Elementary School",="General Education - Teachers and Instructors",="Certified",40.6
="Regional School District 01",="Housatonic Valley Regional High School",="General Education - Teachers and Instructors",="Certified",38.4
="Regional School District 04",="John Winthrop Middle School",="General Education - Teachers and Instructors",="Certified",27.0
,="Valley Regional High School",="General Education - Teachers and Instructors",="Certified",43.5
="Regional School District 05",="Amity Middle School: Bethany",="General Education - Teachers and Instructors",="Certified",29.8
,="Amity Middle School: Orange",="General Education - Teachers and Instructors",="Certified",29.8
,="Amity Regional High School",="General Education - Teachers and Instructors",="Certified",111.8
="Regional School District 06",="Goshen Center School",="General Education - Teachers and Instructors",="Certified",16.8
,="James Morris School",="General Education - Teachers and Instructors",="Certified",15.7
,="Wamogo Regional High School",="General Education - Teachers and Instructors",="Certified",37.0
,="Warren Elementary School",="General Education - Teachers and Instructors",="Certified",8.1
="Regional School District 07",="Northwestern Regional High School",="General Education - Teachers and Instructors",="Certified",46.9
,="Northwestern Regional Middle School",="General Education - Teachers and Instructors",="Certified",23.9
,="STEP",="General Education - Teachers and Instructors",="Certified",0.6
="Regional School District 08",="RHAM High School",="General Education - Teachers and Instructors",="Certified",68.8
,="RHAM Middle School",="General Education - Teachers and Instructors",="Certified",41.5
="Regional School District 09",="Joel Barlow High School",="General Education - Teachers and Instructors",="Certified",65.5
