"FTE Staffing Report for 2010-11"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Winthrop School",="General Education - Teachers and Instructors",="Certified",35.9
="Bristol School District",="Bristol Central High School",="General Education - Teachers and Instructors",="Certified",77.9
,="Bristol Eastern High School",="General Education - Teachers and Instructors",="Certified",71.2
,="Chippens Hill Middle School",="General Education - Teachers and Instructors",="Certified",62.0
,="Clara T. O'Connell School",="General Education - Teachers and Instructors",="Certified",25.0
,="Edgewood School",="General Education - Teachers and Instructors",="Certified",22.1
,="Ellen P. Hubbell School",="General Education - Teachers and Instructors",="Certified",28.1
,="Greene-Hills School",="General Education - Teachers and Instructors",="Certified",20.1
,="Ivy Drive School",="General Education - Teachers and Instructors",="Certified",22.4
,="John J. Jennings School",="General Education - Teachers and Instructors",="Certified",20.5
,="Memorial Boulevard Middle School",="General Education - Teachers and Instructors",="Certified",38.0
,="Mountain View School",="General Education - Teachers and Instructors",="Certified",19.3
,="Northeast Middle School",="General Education - Teachers and Instructors",="Certified",38.0
,="South Side School",="General Education - Teachers and Instructors",="Certified",34.1
,="Stafford School",="General Education - Teachers and Instructors",="Certified",24.4
="Brookfield School District",="Brookfield High School",="General Education - Teachers and Instructors",="Certified",63.2
,="Center Elementary School",="General Education - Teachers and Instructors",="Certified",25.0
,="Huckleberry Hill Elementary School",="General Education - Teachers and Instructors",="Certified",33.6
,="Whisconier Middle School",="General Education - Teachers and Instructors",="Certified",55.8
="Brooklyn School District",="Brooklyn Elementary School",="General Education - Teachers and Instructors",="Certified",30.0
,="Brooklyn Middle School",="General Education - Teachers and Instructors",="Certified",27.4
="Canaan School District",="Lee H. Kellogg School",="General Education - Teachers and Instructors",="Certified",11.1
="Canterbury School District",="Canterbury Elementary School",="General Education - Teachers and Instructors",="Certified",20.0
,="Dr. Helen Baldwin Middle School",="General Education - Teachers and Instructors",="Certified",18.8
="Canton School District",="Canton High School",="General Education - Teachers and Instructors",="Certified",31.3
,="Canton Intermediate School",="General Education - Teachers and Instructors",="Certified",24.3
,="Canton Middle School",="General Education - Teachers and Instructors",="Certified",17.9
,="Cherry Brook Primary School",="General Education - Teachers and Instructors",="Certified",31.2
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="General Education - Teachers and Instructors",="Certified",26.5
