"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
,="General Education - Teachers and Instructors",="Certified",1351.4
,="Special Education - Teachers and Instructors",="Certified",202.7
,="Library/Media - Specialists (Certified)",="Certified",15.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",45.0
,="Instructional Specialists Who Support Teachers",="Certified",137.1
="Hartland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",18.4
,="Special Education - Teachers and Instructors",="Certified",1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Instructional Specialists Who Support Teachers",="Certified",0.2
="Hebron School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",57.1
,="Special Education - Teachers and Instructors",="Certified",10.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.5
,="Instructional Specialists Who Support Teachers",="Certified",7.0
="Highville Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",25.8
,="Instructional Specialists Who Support Teachers",="Certified",1.2
="Integrated Day Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",19.4
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",1.3
="Interdistrict School for Arts and Comm District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.7
,="General Education - Teachers and Instructors",="Certified",18.5
,="Special Education - Teachers and Instructors",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",0.8
="Jumoke Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",35.0
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Kent School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",25.5
,="Special Education - Teachers and Instructors",="Certified",2.5
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Killingly School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.8
,="Counselors  Social Workers  and School Psychologists",="Certified",17.6
,="General Education - Teachers and Instructors",="Certified",166.4
,="Special Education - Teachers and Instructors",="Certified",27.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",6.8
="Learn",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0
,="Counselors  Social Workers  and School Psychologists",="Certified",12.1
,="General Education - Teachers and Instructors",="Certified",140.6
,="Special Education - Teachers and Instructors",="Certified",36.0
,="Library/Media - Specialists (Certified)",="Certified",0.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",10.6
="Lebanon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.4
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0
,="General Education - Teachers and Instructors",="Certified",83.4
,="Special Education - Teachers and Instructors",="Certified",12.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",3.5
="Ledyard School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.7
,="Counselors  Social Workers  and School Psychologists",="Certified",13.8
,="General Education - Teachers and Instructors",="Certified",163.3
,="Special Education - Teachers and Instructors",="Certified",25.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",7.4
="Lisbon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="General Education - Teachers and Instructors",="Certified",29.1
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.4
,="Instructional Specialists Who Support Teachers",="Certified",1.7
="Litchfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.2
,="Counselors  Social Workers  and School Psychologists",="Certified",7.0
,="General Education - Teachers and Instructors",="Certified",85.2
,="Special Education - Teachers and Instructors",="Certified",10.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
="Madison School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.4
,="Counselors  Social Workers  and School Psychologists",="Certified",16.5
,="General Education - Teachers and Instructors",="Certified",221.8
,="Special Education - Teachers and Instructors",="Certified",35.2
,="Library/Media - Specialists (Certified)",="Certified",5.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",11.8
="Manchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",26.2
,="Counselors  Social Workers  and School Psychologists",="Certified",51.2
,="General Education - Teachers and Instructors",="Certified",450.8
,="Special Education - Teachers and Instructors",="Certified",65.0
,="Library/Media - Specialists (Certified)",="Certified",12.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.6
,="Instructional Specialists Who Support Teachers",="Certified",39.6
="Mansfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0
,="General Education - Teachers and Instructors",="Certified",99.4
,="Special Education - Teachers and Instructors",="Certified",14.5
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.3
,="Instructional Specialists Who Support Teachers",="Certified",7.5
="Marlborough School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",34.0
,="Special Education - Teachers and Instructors",="Certified",4.6
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5
,="Instructional Specialists Who Support Teachers",="Certified",3.5
="Meriden School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.0
,="Counselors  Social Workers  and School Psychologists",="Certified",42.6
,="General Education - Teachers and Instructors",="Certified",477.6
,="Special Education - Teachers and Instructors",="Certified",90.4
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",18.0
,="Instructional Specialists Who Support Teachers",="Certified",22.6
="Middletown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.5
,="Counselors  Social Workers  and School Psychologists",="Certified",28.0
,="General Education - Teachers and Instructors",="Certified",300.5
,="Special Education - Teachers and Instructors",="Certified",47.4
,="Library/Media - Specialists (Certified)",="Certified",2.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.7
,="Instructional Specialists Who Support Teachers",="Certified",21.0
="Milford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.0
,="Counselors  Social Workers  and School Psychologists",="Certified",39.5
,="General Education - Teachers and Instructors",="Certified",433.5
,="Special Education - Teachers and Instructors",="Certified",87.9
,="Library/Media - Specialists (Certified)",="Certified",13.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",14.5
,="Instructional Specialists Who Support Teachers",="Certified",43.1
="Monroe School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0
,="Counselors  Social Workers  and School Psychologists",="Certified",17.2
,="General Education - Teachers and Instructors",="Certified",205.9
,="Special Education - Teachers and Instructors",="Certified",32.3
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",11.6
="Montville School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.4
,="Counselors  Social Workers  and School Psychologists",="Certified",12.3
,="General Education - Teachers and Instructors",="Certified",174.4
,="Special Education - Teachers and Instructors",="Certified",32.2
,="Library/Media - Specialists (Certified)",="Certified",5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",5.9
="Naugatuck School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6
,="Counselors  Social Workers  and School Psychologists",="Certified",30.6
,="General Education - Teachers and Instructors",="Certified",253.0
,="Special Education - Teachers and Instructors",="Certified",40.8
,="Library/Media - Specialists (Certified)",="Certified",6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",15.5
="New Beginnings Inc Family Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",34.0
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="New Britain School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",33.8
,="Counselors  Social Workers  and School Psychologists",="Certified",57.5
,="General Education - Teachers and Instructors",="Certified",563.1
,="Special Education - Teachers and Instructors",="Certified",104.7
,="Library/Media - Specialists (Certified)",="Certified",14.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",11.0
,="Instructional Specialists Who Support Teachers",="Certified",18.5
="New Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.1
,="Counselors  Social Workers  and School Psychologists",="Certified",28.7
,="General Education - Teachers and Instructors",="Certified",296.8
,="Special Education - Teachers and Instructors",="Certified",35.7
,="Library/Media - Specialists (Certified)",="Certified",6.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.7
,="Instructional Specialists Who Support Teachers",="Certified",23.3
="New Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.6
,="Counselors  Social Workers  and School Psychologists",="Certified",15.6
,="General Education - Teachers and Instructors",="Certified",171.7
,="Special Education - Teachers and Instructors",="Certified",25.2
,="Library/Media - Specialists (Certified)",="Certified",3.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.2
,="Instructional Specialists Who Support Teachers",="Certified",6.0
="New Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",33.8
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",2.4
="New Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",93.0
,="Counselors  Social Workers  and School Psychologists",="Certified",117.1
,="General Education - Teachers and Instructors",="Certified",1413.5
,="Special Education - Teachers and Instructors",="Certified",209.2
,="Library/Media - Specialists (Certified)",="Certified",33.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",33.0
,="Instructional Specialists Who Support Teachers",="Certified",71.0
="New London School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.4
,="Counselors  Social Workers  and School Psychologists",="Certified",16.4
,="General Education - Teachers and Instructors",="Certified",179.2
,="Special Education - Teachers and Instructors",="Certified",36.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.3
,="Instructional Specialists Who Support Teachers",="Certified",10.9
="New Milford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.5
,="Counselors  Social Workers  and School Psychologists",="Certified",22.5
,="General Education - Teachers and Instructors",="Certified",267.8
,="Special Education - Teachers and Instructors",="Certified",48.0
,="Library/Media - Specialists (Certified)",="Certified",6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",17.8
="Newington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.8
,="Counselors  Social Workers  and School Psychologists",="Certified",24.4
,="General Education - Teachers and Instructors",="Certified",269.5
,="Special Education - Teachers and Instructors",="Certified",32.5
,="Library/Media - Specialists (Certified)",="Certified",7.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0
,="Instructional Specialists Who Support Teachers",="Certified",18.2
="Newtown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.4
,="Counselors  Social Workers  and School Psychologists",="Certified",36.2
,="General Education - Teachers and Instructors",="Certified",337.0
,="Special Education - Teachers and Instructors",="Certified",36.0
,="Library/Media - Specialists (Certified)",="Certified",8.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.7
,="Instructional Specialists Who Support Teachers",="Certified",22.1
="Norfolk School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.7
,="General Education - Teachers and Instructors",="Certified",8.3
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Library/Media - Specialists (Certified)",="Certified",0.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Instructional Specialists Who Support Teachers",="Certified",1.4
="North Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.7
,="Counselors  Social Workers  and School Psychologists",="Certified",12.1
,="General Education - Teachers and Instructors",="Certified",132.4
,="Special Education - Teachers and Instructors",="Certified",26.8
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",5.3
="North Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",28.7
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="North Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0
,="Counselors  Social Workers  and School Psychologists",="Certified",18.6
,="General Education - Teachers and Instructors",="Certified",233.4
,="Special Education - Teachers and Instructors",="Certified",25.0
,="Library/Media - Specialists (Certified)",="Certified",7.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",10.6
="North Stonington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="General Education - Teachers and Instructors",="Certified",63.8
,="Special Education - Teachers and Instructors",="Certified",9.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
="Norwalk School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",39.0
,="Counselors  Social Workers  and School Psychologists",="Certified",55.8
,="General Education - Teachers and Instructors",="Certified",698.6
,="Special Education - Teachers and Instructors",="Certified",86.3
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",15.0
,="Instructional Specialists Who Support Teachers",="Certified",23.0
="Norwich Free Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.5
,="Counselors  Social Workers  and School Psychologists",="Certified",18.0
,="General Education - Teachers and Instructors",="Certified",139.9
,="Special Education - Teachers and Instructors",="Certified",22.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",0.8
="Norwich School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.0
,="Counselors  Social Workers  and School Psychologists",="Certified",21.0
,="General Education - Teachers and Instructors",="Certified",199.0
,="Special Education - Teachers and Instructors",="Certified",42.0
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",15.0
="Odyssey Community School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",25.8
,="Special Education - Teachers and Instructors",="Certified",4.0
="Office of Early Childhood (OEC)",="Special Education - Teachers and Instructors",="Certified",10.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
="Old Saybrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.4
,="Counselors  Social Workers  and School Psychologists",="Certified",8.7
,="General Education - Teachers and Instructors",="Certified",110.9
,="Special Education - Teachers and Instructors",="Certified",24.6
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0
="Orange School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.5
,="Counselors  Social Workers  and School Psychologists",="Certified",4.5
,="General Education - Teachers and Instructors",="Certified",82.0
,="Special Education - Teachers and Instructors",="Certified",10.8
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.5
,="Instructional Specialists Who Support Teachers",="Certified",9.8
="Oxford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.2
,="Counselors  Social Workers  and School Psychologists",="Certified",9.8
,="General Education - Teachers and Instructors",="Certified",121.3
,="Special Education - Teachers and Instructors",="Certified",20.8
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",3.8
="Park City Prep Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.3
,="General Education - Teachers and Instructors",="Certified",15.0
,="Special Education - Teachers and Instructors",="Certified",1.0
="Plainfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",16.5
,="General Education - Teachers and Instructors",="Certified",142.5
,="Special Education - Teachers and Instructors",="Certified",32.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0
="Plainville School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.5
,="Counselors  Social Workers  and School Psychologists",="Certified",14.2
,="General Education - Teachers and Instructors",="Certified",177.4
,="Special Education - Teachers and Instructors",="Certified",32.0
,="Library/Media - Specialists (Certified)",="Certified",5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",5.6
="Plymouth School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",8.0
,="General Education - Teachers and Instructors",="Certified",112.7
,="Special Education - Teachers and Instructors",="Certified",18.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",3.8
="Pomfret School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.6
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",34.6
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
="Portland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",7.0
,="General Education - Teachers and Instructors",="Certified",91.0
,="Special Education - Teachers and Instructors",="Certified",12.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0
="Preston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.6
,="General Education - Teachers and Instructors",="Certified",29.8
,="Special Education - Teachers and Instructors",="Certified",4.8
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.2
,="Instructional Specialists Who Support Teachers",="Certified",1.8
="Project Oceanology",="General Education - Teachers and Instructors",="Certified",5.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
="Putnam School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0
,="Counselors  Social Workers  and School Psychologists",="Certified",10.0
,="General Education - Teachers and Instructors",="Certified",83.4
,="Special Education - Teachers and Instructors",="Certified",17.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",4.8
="Redding School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.4
,="General Education - Teachers and Instructors",="Certified",77.4
,="Special Education - Teachers and Instructors",="Certified",15.7
,="Library/Media - Specialists (Certified)",="Certified",2.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",10.4
="Regional School District 01",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.2
,="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="General Education - Teachers and Instructors",="Certified",30.8
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
="Regional School District 04",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.0
,="Counselors  Social Workers  and School Psychologists",="Certified",8.0
,="General Education - Teachers and Instructors",="Certified",71.4
,="Special Education - Teachers and Instructors",="Certified",10.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.6
,="Instructional Specialists Who Support Teachers",="Certified",0.4
="Regional School District 05",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.4
,="Counselors  Social Workers  and School Psychologists",="Certified",17.0
,="General Education - Teachers and Instructors",="Certified",164.7
,="Special Education - Teachers and Instructors",="Certified",17.0
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",11.4
="Regional School District 06",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.6
,="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="General Education - Teachers and Instructors",="Certified",74.9
,="Special Education - Teachers and Instructors",="Certified",9.3
,="Library/Media - Specialists (Certified)",="Certified",1.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",11.2
="Regional School District 07",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.4
,="Counselors  Social Workers  and School Psychologists",="Certified",9.1
,="General Education - Teachers and Instructors",="Certified",74.2
,="Special Education - Teachers and Instructors",="Certified",14.2
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.8
="Regional School District 08",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.6
,="Counselors  Social Workers  and School Psychologists",="Certified",12.4
,="General Education - Teachers and Instructors",="Certified",118.9
,="Special Education - Teachers and Instructors",="Certified",21.1
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Regional School District 09",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.1
,="Counselors  Social Workers  and School Psychologists",="Certified",8.5
,="General Education - Teachers and Instructors",="Certified",66.2
,="Special Education - Teachers and Instructors",="Certified",8.7
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",4.1
="Regional School District 10",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.8
,="Counselors  Social Workers  and School Psychologists",="Certified",15.0
,="General Education - Teachers and Instructors",="Certified",179.9
,="Special Education - Teachers and Instructors",="Certified",28.4
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.6
,="Instructional Specialists Who Support Teachers",="Certified",9.6
="Regional School District 11",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.1
,="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="General Education - Teachers and Instructors",="Certified",26.0
,="Special Education - Teachers and Instructors",="Certified",5.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Regional School District 12",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.6
,="Counselors  Social Workers  and School Psychologists",="Certified",6.3
,="General Education - Teachers and Instructors",="Certified",68.1
,="Special Education - Teachers and Instructors",="Certified",13.9
,="Library/Media - Specialists (Certified)",="Certified",0.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",2.8
="Regional School District 13",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8
,="Counselors  Social Workers  and School Psychologists",="Certified",12.0
,="General Education - Teachers and Instructors",="Certified",139.3
,="Special Education - Teachers and Instructors",="Certified",19.2
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",7.4
="Regional School District 14",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.9
,="Counselors  Social Workers  and School Psychologists",="Certified",8.8
,="General Education - Teachers and Instructors",="Certified",121.3
,="Special Education - Teachers and Instructors",="Certified",20.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",8.5
="Regional School District 15",="Administrators  Coordinators and Department Chairs - School Level",="Certified",22.8
,="Counselors  Social Workers  and School Psychologists",="Certified",21.2
,="General Education - Teachers and Instructors",="Certified",253.7
,="Special Education - Teachers and Instructors",="Certified",40.0
,="Library/Media - Specialists (Certified)",="Certified",8.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",16.3
="Regional School District 16",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0
,="Counselors  Social Workers  and School Psychologists",="Certified",16.2
,="General Education - Teachers and Instructors",="Certified",144.3
,="Special Education - Teachers and Instructors",="Certified",15.6
,="Library/Media - Specialists (Certified)",="Certified",1.0
