"Total Expenditures Used for Special Education, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
="Milford School District",7979353,3370767,2619897,415189,2044611,113525,6875,980945,71494,27897,17630553
="Monroe School District",3505682,822704,774739,177656,974364,21982,3928,559185,5653,8662,6890367
="Montville School District",3314679,1093030,957739,194965,437331,105100,11023,3403,34698,1297,6162412
="Naugatuck School District",4903665,1486014,1922383,60470,992676,48931,0,840532,7224,4179,10311931
="New Britain School District",13150893,4896798,4074377,682442,7484212,106927,0,2827637,86727,12949,33453979
="New Canaan School District",4660572,2709544,1599646,1006315,1417433,42266,1132,100546,49597,0,11594454
="New Fairfield School District",3097340,694916,1111744,87749,562483,36745,0,306974,10403,1046,5916245
="New Hartford School District",650087,251447,228276,43164,111559,4184,0,58597,740,430,1348754
="New Haven School District",20427940,3616975,7409552,2060206,11965106,255570,584224,3961563,56520,632316,50973988
="New London School District",4342221,1353066,1566197,1041216,1567945,72103,14115,789871,9541,0,10764422
="New Milford School District",4451411,1476854,1754745,845075,1647340,42253,0,914550,34961,1940,11177315
="Newington School District",3049649,358067,680070,1964508,1529285,377655,26392,1000,98833,2507,8183445
="Newtown School District",3910427,1609920,1307394,317407,1561463,121605,641,957491,47629,0,9900059
="Norfolk School District",40627,2618,7238,268807,59904,88,0,30886,0,350,410518
="North Branford School District",1899960,539491,424811,352021,935126,44412,3375,512355,17251,790,4732998
="North Canaan School District",391517,107636,170960,35775,0,1026,1038,35464,850,4270,749289
="North Haven School District",2951124,529530,830117,168275,1743372,26367,20556,825099,0,9413,7112887
="North Stonington School District",910501,348322,380543,123584,222369,10653,0,163826,13527,3038,2185093
="Norwalk School District",12260623,3514462,4641919,1324089,4665539,69025,10534,1859588,44786,315,28460217
="Norwich School District",3009842,1014616,1300271,2776611,6833131,37257,25815,1827546,27220,135350,17113917
="Old Saybrook School District",1341193,620758,327936,196255,547063,9205,133,293896,4724,395,3345625
="Orange School District",1533349,793124,419868,568283,168979,60823,0,176376,22550,0,3768966
="Oxford School District",1240302,708404,570321,501618,1235081,27450,990,368228,14265,23552,4697630
="Plainfield School District",2118881,1353862,1088258,1010366,1563154,22852,355,0,10877,886,7197710
="Plainville School District",2124735,948391,473441,196133,2053583,28923,0,268836,0,623,6095088
="Plymouth School District",1615279,419812,675852,260147,1471746,13921,0,667024,15904,577,5159525
="Pomfret School District",499554,213817,152671,117090,715138,7993,0,132219,3506,600,1845466
="Portland School District",1250507,519234,658777,197894,467698,15288,450,186693,8327,95,3304963
="Preston School District",776798,521172,343712,69392,934364,11688,0,42748,4623,0,2704678
="Putnam School District",1254804,580132,449983,54493,718306,30030,0,39203,900,634,3136448
="Redding School District",1375904,619787,544982,258433,149690,23647,0,260081,21807,799,3262692
="Regional School District 01",602579,179104,271125,55818,469374,1600,1620,53137,1327,6662,1643521
="Regional School District 04",1063737,373975,265372,76105,489933,18870,211,163135,4016,2289,2457643
="Regional School District 05",2226403,488798,628617,104671,1443335,10323,0,430809,5017,2148,5364393
="Regional School District 06",1147920,465808,385972,206808,417328,15854,0,201802,0,419,2844269
="Regional School District 07",654845,249982,215504,1095594,288528,5265,0,161096,8356,819,2679989
="Regional School District 08",1322055,484058,377646,211761,841756,19596,18584,161065,0,3684,3449494
="Regional School District 09",828989,327442,159825,103318,915415,11155,0,309319,9522,389,2666607
="Regional School District 10",2097301,768730,628089,154327,828687,36640,4532,420109,90788,7450,5036653
="Regional School District 11",436566,112628,93363,586465,301742,4983,0,0,0,0,1535747
="Regional School District 12",1298081,658295,385405,221097,243263,26476,0,231307,22102,300,3090646
="Regional School District 13",1851868,785129,696368,264308,658690,39329,0,530529,12878,0,4839099
="Regional School District 14",2096927,838917,702133,336401,1370165,45476,0,414216,21389,649,5826273
="Regional School District 15",4739578,1390587,1276488,285387,585071,23888,7205,919529,49130,0,9369714
