"Chronic Absenteeism, Trend"
", All Students"

"",,"% Chronically Absent",,,,
"Lisbon School District","=""0730011""",6.1,7.8,4.5,6.5,5.0
"Litchfield School District","=""0740011""",6.8,7.9,7.4,6.3,9.2
"Madison School District","=""0760011""",4.1,3.6,2.3,2.9,1.9
"Manchester School District","=""0770011""",21.1,13.3,12.4,13.3,14.4
"Mansfield School District","=""0780011""",5.1,6.0,4.1,4.8,5.0
"Marlborough School District","=""0790011""",4.1,3.6,2.0,5.0,3.6
"Meriden School District","=""0800011""",12.2,16.2,15.4,16.6,12.7
"Middletown School District","=""0830011""",11.5,11.2,10.1,9.5,9.1
"Milford School District","=""0840011""",10.4,12.8,10.7,8.5,7.3
"Monroe School District","=""0850011""",6.3,6.1,3.9,2.8,2.6
"Montville School District","=""0860011""",8.2,6.9,7.0,6.5,6.5
"Naugatuck School District","=""0880011""",12.7,13.9,13.6,11.0,11.3
"New Beginnings Inc., Family Academy District","=""2800013""",8.1,9.3,9.8,17.1,7.4
"New Britain School District","=""0890011""",26.6,24.6,19.2,20.7,18.0
"New Canaan School District","=""0900011""",9.1,4.3,2.7,2.8,2.4
"New Fairfield School District","=""0910011""",7.9,6.0,4.5,2.9,3.1
"New Hartford School District","=""0920011""",4.8,4.4,5.5,2.7,3.6
"New Haven School District","=""0930011""",20.2,16.1,24.7,25.6,19.9
"New London School District","=""0950011""",25.8,19.6,22.1,17.8,17.6
"New Milford School District","=""0960011""",10.4,9.5,8.8,6.4,5.6
"Newington School District","=""0940011""",4.8,3.6,7.1,6.5,5.0
"Newtown School District","=""0970011""",2.7,5.0,4.4,3.7,4.5
"Norfolk School District","=""0980011""",10.7,12.3,5.6,"*","*"
"North Branford School District","=""0990011""",15.2,14.5,5.2,4.0,4.9
"North Canaan School District","=""1000011""",12.8,14.8,6.1,6.0,5.7
"North Haven School District","=""1010011""",7.4,9.9,8.9,17.5,4.1
"North Stonington School District","=""1020011""",9.4,11.3,7.1,1.8,4.3
"Norwalk School District","=""1030011""",11.6,11.6,10.8,8.3,10.2
"Norwich Free Academy District","=""9010022""",10.7,11.5,31.0,15.2,10.9
"Norwich School District","=""1040011""",14.4,13.5,14.9,13.4,9.7
"Odyssey Community School District","=""2630013""",8.9,9.4,11.7,7.2,4.3
"Old Saybrook School District","=""1060011""",15.9,16.2,6.1,11.7,6.4
"Orange School District","=""1070011""",4.0,4.6,4.9,3.1,3.2
"Oxford School District","=""1080011""",6.0,8.1,8.1,7.3,6.8
"Park City Prep Charter School District","=""2830013""",9.1,4.9,6.3,8.1,6.3
"Path Academy District","=""2930013""","N/A","N/A","N/A",82.8,100.0
"Plainfield School District","=""1090011""",12.1,12.1,12.4,9.6,12.0
"Plainville School District","=""1100011""",10.4,11.2,7.7,8.0,8.2
"Plymouth School District","=""1110011""",8.6,9.6,9.8,12.5,11.0
"Pomfret School District","=""1120011""",2.8,3.8,2.2,3.8,2.6
"Portland School District","=""1130011""",4.5,5.9,5.4,7.4,6.1
"Preston School District","=""1140011""","*",8.8,"*",8.4,4.6
"Putnam School District","=""1160011""",12.3,14.3,13.7,14.3,14.7
"Redding School District","=""1170011""",5.3,5.4,1.9,3.0,3.0
"Regional School District 01","=""2010012""",6.8,4.8,3.3,15.6,10.2
"Regional School District 04","=""2040012""",8.6,10.2,9.9,7.8,6.8
"Regional School District 05","=""2050012""",8.8,11.0,11.2,10.7,2.7
"Regional School District 06","=""2060012""",4.3,5.9,4.4,4.7,4.8
"Regional School District 07","=""2070012""",18.8,6.7,6.3,5.6,4.6
"Regional School District 08","=""2080012""",15.7,17.3,12.4,12.5,6.9
"Regional School District 09","=""2090012""",14.1,13.3,9.9,9.0,9.4
"Regional School District 10","=""2100012""",8.8,5.4,7.3,6.3,6.2
"Regional School District 11","=""2110012""",6.5,10.2,6.1,7.1,9.3
"Regional School District 12","=""2120012""",8.3,10.7,7.0,8.7,5.7
"Regional School District 13","=""2130012""",4.4,4.6,4.2,4.2,5.1
"Regional School District 14","=""2140012""",3.2,4.2,7.5,2.0,6.3
"Regional School District 15","=""2150012""",4.5,5.7,4.2,4.4,3.1
"Regional School District 16","=""2160012""",7.4,6.7,4.9,8.8,7.2
"Regional School District 17","=""2170012""",4.5,3.4,4.2,5.0,4.3
"Regional School District 18","=""2180012""",4.7,4.7,6.1,7.0,6.9
"Regional School District 19","=""2190012""",15.6,15.6,15.9,6.9,9.2
"Ridgefield School District","=""1180011""",5.3,6.6,6.1,5.5,4.5
"Rocky Hill School District","=""1190011""",7.4,8.3,6.3,7.7,8.3
"Salem School District","=""1210011""",3.7,3.9,4.3,4.6,5.0
"Salisbury School District","=""1220011""",7.2,7.0,4.2,7.0,4.4
