"Overall Expenditures, 2011-12"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
="Hebron School District",8069502,301717,536223,976959,1006794,992577,504567,34180,0,12422519
="Highville Charter School District",1646505,187179,39142,106314,597422,552726,52032,N/A,263854,3445174
="Integrated Day Charter School District",1972421,38343,154818,80875,575961,415085,5731,N/A,113141,3356375
="Interdistrict School for Arts and Comm District",1555889,49462,46958,93919,475596,215047,9472,N/A,0,2446343
="Jumoke Academy District",2482850,126796,308706,709989,985543,573705,0,N/A,4046,5191635
="Kent School District",2990647,131063,105391,316610,527968,492152,354233,182227,10500,5110791
="Killingly School District",20635872,496663,1834937,2156398,4064204,4028338,2559503,3402578,0,39178493
="Lebanon School District",10045438,288611,400611,1145523,1983810,1960113,1226870,1133611,237711,18422298
="Ledyard School District",19205458,1038420,969002,2010894,4239789,2694463,2672343,1945783,407079,35183231
="Lisbon School District",4552257,85335,26369,655900,722182,664902,681984,576286,0,7965215
="Litchfield School District",8828839,201568,1147141,1485714,1590017,1902469,1159040,961989,385341,17662118
="Madison School District",27542450,1363696,2053358,4072682,4002325,5146508,3203400,1480668,1368341,50233428
="Manchester School District",62458493,1601708,3644258,6846253,10492087,10659471,3688610,6299327,1591601,107281808
="Mansfield School District",13154361,653309,590757,1299104,2851436,1780962,1065905,533400,92159,22021393
="Marlborough School District",4956409,156434,211550,252579,673256,646518,331550,1410,0,7229706
="Meriden School District",62874044,1755461,1079611,7909536,10150603,11932666,5961082,15406146,754510,117823659
="Middletown School District",40532927,773840,1263296,4975001,6341281,8334131,5984883,5486330,1726340,75418029
="Milford School District",70227114,2888827,1906134,3267832,9234271,11740973,4277828,3519285,1037083,108099347
="Monroe School District",32317588,696524,1980779,3969113,4673941,5609336,2445811,1433496,449780,53576368
="Montville School District",22262607,1583897,769346,2199679,3244403,4118491,2423854,1082700,508971,38193948
="Naugatuck School District",41168301,902596,821404,4202897,7151553,6194580,2938664,1779467,774762,65934224
="New Beginnings Inc., Family Academy District",1961954,165426,28244,220207,601397,472406,44830,N/A,286388,3780852
="New Britain School District",83849568,1594998,1308778,4068556,11959821,9438158,11861318,11718475,236266,136035938
="New Canaan School District",41772531,841866,1746333,6967716,9020434,8869304,4484619,2246192,1083054,77032049
="New Fairfield School District",23046128,836952,1055806,2955338,3905362,3330602,1666507,580058,495031,37871784
="New Hartford School District",5169124,111644,34233,276513,807325,772234,637403,209471,18000,8035947
="New Haven School District",199630972,5942335,5801787,11584806,36633253,33260420,22818585,15314722,4419729,335406609
="New London School District",25234881,691403,1592443,3552745,5778656,5106129,3319588,4676998,434146,50386989
="New Milford School District",34356832,1057329,1181707,4053266,6070844,5580596,4411545,2189758,933127,59835004
="Newington School District",37269809,1371504,2209773,3426891,6183137,9044622,3126455,3198450,787845,66618486
="Newtown School District",39161029,1229048,1638299,5143587,6742244,9687286,5222409,2055743,859875,71739520
="Norfolk School District",1417530,37320,89826,52855,418139,363007,165288,27152,7477,2578594
="North Branford School District",15652545,487480,1645008,2415157,2952520,3254003,2208714,1195149,635179,30445755
="North Canaan School District",3339818,92396,36615,403207,547938,566452,346563,67550,16906,5417445
="North Haven School District",24649015,605784,896887,4453645,6935408,3976591,2792007,2589322,476202,47374861
="North Stonington School District",7113886,615749,168125,664183,1617161,1224058,896860,232866,0,12532888
="Norwalk School District",111295684,1358900,1176323,11497010,23959556,15365459,5848690,7297354,1362375,179161351
="Norwich School District",29701543,371916,477170,5594926,4156886,3937441,6324475,5927537,0,56491894
="Odyssey Community School District",1747611,108648,15536,51354,500740,309863,0,N/A,0,2733752
="Old Saybrook School District",12202370,518092,1060627,1414015,2247734,2633486,1010908,1131112,505795,22724139
="Orange School District",11491445,310112,602811,1558255,1686962,1464779,1041945,575656,0,18731965
="Oxford School District",15585463,592047,83811,1701942,3492966,2681316,1499004,1161887,344104,27142540
="Park City Prep Charter School District",1110754,76913,69266,278348,681549,370935,0,N/A,0,2587765
="Plainfield School District",18739167,390684,504124,2610692,3290383,2990206,2523613,2523217,261549,33833635
="Plainville School District",20659345,950608,1002681,1458103,3881490,3494186,1710161,2515382,0,35671956
="Plymouth School District",14291067,982946,214290,755748,1907915,2767277,2195231,1321716,384483,24820673
="Pomfret School District",4220391,114417,98596,112214,573563,516392,751414,894169,0,7281156
="Portland School District",10357706,485474,590073,1152957,2104001,2427783,852739,743487,306852,19021072
="Preston School District",4566579,100221,106346,415605,856015,730387,914439,1028490,50000,8768082
="Putnam School District",10131019,617748,313273,2080765,2111072,1703912,942267,832876,259536,18992468
