"Primary Disability (K-12), 2011-12"
"All Districts, Speech Language Impairment"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Stafford School District","=""1340011""",24,1.4,14.3
"Stamford School District","=""1350011""",254,1.6,17.4
"Sterling School District","=""1360011""",13,2.2,18.8
"Stonington School District","=""1370011""",35,1.4,11.5
"Stratford School District","=""1380011""",51,0.7,7.3
"Suffield School District","=""1390011""",42,1.8,17.0
"Thomaston School District","=""1400011""",22,1.9,16.1
"Thompson School District","=""1410011""",45,3.7,34.1
"Tolland School District","=""1420011""",24,0.8,7.7
"Torrington School District","=""1430011""",102,2.2,13.2
"Trumbull School District","=""1440011""",43,0.6,7.6
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""","*","*","*"
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",99,2.7,23.3
"Voluntown School District","=""1470011""",17,4.1,37.8
"Wallingford School District","=""1480011""",137,2.2,17.2
"Waterbury School District","=""1510011""",616,3.6,22.0
"Waterford School District","=""1520011""",59,2.1,17.4
"Watertown School District","=""1530011""",37,1.2,11.1
"West Hartford School District","=""1550011""",186,1.8,17.1
"West Haven School District","=""1560011""",197,2.8,23.7
"Westbrook School District","=""1540011""",8,0.9,10.7
"Weston School District","=""1570011""",36,1.5,16.5
"Westport School District","=""1580011""",93,1.6,16.4
"Wethersfield School District","=""1590011""",114,3.0,27.1
"Willington School District","=""1600011""",16,3.4,26.7
"Wilton School District","=""1610011""",54,1.3,11.7
"Winchester School District","=""1620011""",48,3.6,18.5
"Windham School District","=""1630011""",78,2.5,14.8
"Windsor Locks School District","=""1650011""",12,0.7,5.7
"Windsor School District","=""1640011""",58,1.5,10.7
"Wolcott School District","=""1660011""",39,1.4,15.8
"Woodbridge School District","=""1670011""",18,2.5,28.1
"Woodstock School District","=""1690011""",15,1.2,17.4

