"Six-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","Special Education Status","2010-11","2011-12","2012-13"
"Lisbon School District","Non-Special Education","N/A","*","*"
"Lisbon School District","Special Education","*","*","*"
"Litchfield School District","Non-Special Education",96.6,"*",98.7
"Litchfield School District","Special Education",100.0,"*",90.0
"Madison School District","Non-Special Education",98.6,99.3,100.0
"Madison School District","Special Education",86.7,89.6,100.0
"Manchester School District","Non-Special Education",79.9,82.4,85.5
"Manchester School District","Special Education",66.7,72.9,68.6
"Meriden School District","Non-Special Education",78.3,78.9,78.8
"Meriden School District","Special Education",64.8,57.1,56.7
"Middletown School District","Non-Special Education",84.4,88.0,87.9
"Middletown School District","Special Education",66.7,69.0,77.0
"Milford School District","Non-Special Education",93.8,94.8,93.4
"Milford School District","Special Education",82.4,80.5,76.5
"Monroe School District","Non-Special Education",99.7,99.7,98.6
"Monroe School District","Special Education",84.0,93.8,100.0
"Montville School District","Non-Special Education",88.3,91.9,92.5
"Montville School District","Special Education",84.0,65.7,78.6
"Naugatuck School District","Non-Special Education",87.0,88.1,85.4
"Naugatuck School District","Special Education",76.1,76.0,67.3
"New Britain School District","Non-Special Education",62.8,71.7,71.6
"New Britain School District","Special Education",58.0,53.6,52.3
"New Canaan School District","Non-Special Education",99.3,100.0,99.0
"New Canaan School District","Special Education",93.5,95.7,95.5
"New Fairfield School District","Non-Special Education",94.9,99.5,97.4
"New Fairfield School District","Special Education",91.7,87.0,92.0
"New Haven School District","Non-Special Education",70.9,77.6,78.3
"New Haven School District","Special Education",64.4,67.9,71.9
"New London School District","Non-Special Education",75.8,73.4,72.9
"New London School District","Special Education",43.8,58.2,51.3
"New Milford School District","Non-Special Education",93.0,95.2,93.5
"New Milford School District","Special Education",68.5,81.0,67.9
"Newington School District","Non-Special Education",92.5,94.6,95.0
"Newington School District","Special Education",60.0,82.5,65.8
"Newtown School District","Non-Special Education",96.5,97.3,97.9
"Newtown School District","Special Education",93.8,86.8,85.7
"North Branford School District","Non-Special Education",97.0,94.5,98.0
"North Branford School District","Special Education",80.0,75.0,90.5
"North Haven School District","Non-Special Education",89.9,96.9,93.1
"North Haven School District","Special Education",72.4,75.9,81.1
"North Stonington School District","Non-Special Education",90.2,"*","*"
"North Stonington School District","Special Education",100.0,"*","*"
"Norwalk School District","Non-Special Education",88.4,88.9,88.1
"Norwalk School District","Special Education",85.3,81.9,83.8
"Norwich Free Academy District","Non-Special Education",86.0,88.3,88.7
"Norwich Free Academy District","Special Education",71.8,84.6,68.3
"Norwich School District","Non-Special Education",38.5,20.7,"N/A"
"Norwich School District","Special Education",40.0,51.3,"N/A"
"Old Saybrook School District","Non-Special Education","*",98.4,95.3
"Old Saybrook School District","Special Education","*",94.4,90.0
"Oxford School District","Non-Special Education",97.9,92.7,98.6
"Oxford School District","Special Education",72.7,77.8,77.8
"Plainfield School District","Non-Special Education",91.1,94.3,94.0
"Plainfield School District","Special Education",78.9,74.4,71.9
"Plainville School District","Non-Special Education",91.7,97.2,92.7
"Plainville School District","Special Education",82.8,75.0,76.7
