"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",42,42,100.0,42,"*","*","*","*",6,14.3,20,47.6,11,26.2,31,73.8,273
"Bristol School District","=""0170011""","South Side School","=""0171111""","Y",34,34,100.0,34,"*","*","*","*",9,26.5,14,41.2,0,0.0,14,41.2,233
"Bristol School District","=""0170011""","South Side School","=""0171111""","N",39,39,100.0,39,"*","*","*","*",8,20.5,22,56.4,"*","*","*","*",259
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Y",44,44,100.0,44,"*","*","*","*","*","*",24,54.5,"*","*","*","*",251
"Bristol School District","=""0170011""","Stafford School","=""0171211""","N",28,28,100.0,28,0,0.0,"*","*","*","*",16,57.1,"*","*","*","*",273
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Y",42,42,100.0,42,"*","*","*","*","*","*",23,54.8,"*","*","*","*",255
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N",23,23,100.0,23,0,0.0,0,0.0,"*","*",13,56.5,"*","*","*","*",282
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Y",35,35,100.0,35,"*","*","*","*",14,40.0,13,37.1,0,0.0,13,37.1,234
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N",24,24,100.0,24,0,0.0,"*","*","*","*",17,70.8,0,0.0,17,70.8,261
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Y",29,29,100.0,29,"*","*","*","*",8,27.6,7,24.1,"*","*","*","*",235
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N",41,41,100.0,41,0,0.0,"*","*",6,14.6,24,58.5,"*","*","*","*",279
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Y",65,64,98.5,64,"*","*","*","*","*","*",22,34.4,8,12.5,30,46.9,243
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N",49,49,100.0,49,"*","*","*","*","*","*",24,49.0,17,34.7,41,83.7,280
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Y",39,37,94.9,37,"*","*","*","*",8,21.6,14,37.8,"*","*","*","*",242
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","N",152,151,99.3,151,"*","*","*","*",12,7.9,67,44.4,"*","*","*","*",295
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Y",31,31,100.0,31,"*","*",7,22.6,7,22.6,12,38.7,"*","*","*","*",252
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","N",71,71,100.0,71,0,0.0,0,0.0,"*","*",35,49.3,"*","*","*","*",287
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Y",23,23,100.0,23,"*","*","*","*","*","*",10,43.5,"*","*","*","*",247
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","N",29,29,100.0,29,0,0.0,"*","*","*","*",16,55.2,"*","*","*","*",270
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Y",25,25,100.0,25,"*","*","*","*",6,24.0,7,28.0,"*","*","*","*",224
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","N",112,112,100.0,112,"*","*","*","*",6,5.4,49,43.8,"*","*","*","*",298
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Y",27,27,100.0,27,"*","*","*","*","*","*",7,25.9,0,0.0,7,25.9,223
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","N",36,36,100.0,36,0,0.0,"*","*","*","*",16,44.4,13,36.1,29,80.6,280
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Y",39,39,100.0,39,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","N",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Y",36,35,97.2,35,"*","*","*","*","*","*","*","*",0,0.0,"*","*",207
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Y",35,35,100.0,35,"*","*","*","*","*","*",12,34.3,"*","*","*","*",233
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","N",24,24,100.0,24,0,0.0,"*","*","*","*",10,41.7,"*","*","*","*",270
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Y",23,23,100.0,23,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Y",22,22,100.0,22,0,0.0,"*","*","*","*","*","*","*","*","*","*",240
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","N",21,19,90.5,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","N",45,45,100.0,45,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",289
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Y",20,20,100.0,20,"*","*","*","*",6,30.0,7,35.0,"*","*","*","*",251
"Cheshire School District","=""0250011""","Highland School","=""0250411""","N",110,110,100.0,110,0,0.0,"*","*",11,10.0,52,47.3,"*","*","*","*",292
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Y",22,22,100.0,22,"*","*","*","*","*","*",10,45.5,"*","*","*","*",250
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","N",71,71,100.0,71,0,0.0,"*","*","*","*",34,47.9,"*","*","*","*",278
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Y",47,47,100.0,47,"*","*","*","*",14,29.8,16,34.0,6,12.8,22,46.8,245
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","N",129,129,100.0,129,"*","*","*","*",21,16.3,66,51.2,40,31.0,106,82.2,280
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Y",58,58,100.0,58,"*","*","*","*",16,27.6,28,48.3,"*","*","*","*",252
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","N",143,143,100.0,143,"*","*","*","*",17,11.9,77,53.8,"*","*","*","*",289
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","N",44,44,100.0,44,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","N",26,26,100.0,26,0,0.0,"*","*","*","*","*","*","*","*","*","*",273
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Y",28,28,100.0,28,0,0.0,"*","*",10,35.7,10,35.7,"*","*","*","*",254
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","N",87,86,98.9,86,0,0.0,"*","*",7,8.1,42,48.8,"*","*","*","*",291
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Y",49,49,100.0,49,"*","*",10,20.4,12,24.5,19,38.8,"*","*","*","*",237
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","N",126,126,100.0,126,"*","*",7,5.6,30,23.8,54,42.9,"*","*","*","*",272
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Y",52,51,98.1,51,"*","*","*","*","*","*","*","*","*","*","*","*",236
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Y",45,45,100.0,45,"*","*","*","*","*","*","*","*","*","*","*","*",220
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Y",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*","*","*",227
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Y",50,49,98.0,49,"*","*","*","*","*","*","*","*","*","*","*","*",222
"Danbury School District","=""0340011""","South Street School","=""0341011""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Y",35,34,97.1,34,"*","*","*","*","*","*",7,20.6,"*","*","*","*",212
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","N",20,20,100.0,20,"*","*","*","*","*","*",12,60.0,"*","*","*","*",263
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Y",58,57,98.3,57,"*","*","*","*","*","*",17,29.8,"*","*","*","*",233
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","N",29,29,100.0,29,"*","*","*","*","*","*",16,55.2,"*","*","*","*",254
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Y",54,54,100.0,54,"*","*","*","*","*","*","*","*",0,0.0,"*","*",212
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Y",38,37,97.4,37,"*","*",7,18.9,"*","*",11,29.7,"*","*","*","*",234
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","N",21,21,100.0,21,0,0.0,0,0.0,"*","*",12,57.1,"*","*","*","*",276
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Y",59,59,100.0,59,12,20.3,"*","*",13,22.0,16,27.1,"*","*","*","*",228
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","N",31,31,100.0,31,0,0.0,"*","*",11,35.5,15,48.4,"*","*","*","*",261
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Y",90,89,98.9,89,"*","*",22,24.7,28,31.5,18,20.2,"*","*","*","*",223
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","N",100,99,99.0,99,0,0.0,"*","*",20,20.2,53,53.5,"*","*","*","*",270
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","N",44,44,100.0,44,0,0.0,"*","*","*","*","*","*","*","*","*","*",280
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","N",78,78,100.0,78,0,0.0,"*","*","*","*","*","*","*","*","*","*",300
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","N",50,50,100.0,50,0,0.0,"*","*","*","*","*","*","*","*","*","*",279
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","N",59,59,100.0,59,0,0.0,"*","*","*","*","*","*","*","*","*","*",294
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","N",60,60,100.0,60,0,0.0,"*","*","*","*","*","*","*","*","*","*",287
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","N",31,31,100.0,31,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",289
"Derby School District","=""0370011""","Irving School","=""0370411""","Y",43,43,100.0,43,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Derby School District","=""0370011""","Irving School","=""0370411""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""","Y",27,27,100.0,27,"*","*","*","*",9,33.3,7,25.9,"*","*","*","*",241
"Derby School District","=""0370011""","Bradley School","=""0370611""","N",28,28,100.0,28,"*","*","*","*",10,35.7,11,39.3,"*","*","*","*",248
