"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",30,30,100.0,30,0,0.0,"*","*","*","*",17,56.7,11,36.7,28,93.3
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",115,114,99.1,114,0,0.0,6,5.3,17,14.9,52,45.6,39,34.2,91,79.8
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",138,136,98.6,136,"*","*",10,7.4,"*","*",86,63.2,30,22.1,116,85.3
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",111,110,99.1,109,"*","*","*","*",30,27.5,17,15.6,51,46.8,68,62.4
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",175,175,100.0,175,6,3.4,17,9.7,42,24.0,73,41.7,37,21.1,110,62.9
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",142,142,100.0,142,6,4.2,10,7.0,29,20.4,71,50.0,26,18.3,97,68.3
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",147,146,99.3,146,6,4.1,10,6.8,58,39.7,39,26.7,33,22.6,72,49.3
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",65,64,98.5,64,6,9.4,14,21.9,16,25.0,20,31.3,8,12.5,28,43.8
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",100,100,100.0,100,6,6.0,6,6.0,18,18.0,53,53.0,17,17.0,70,70.0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",52,52,100.0,52,"*","*",17,32.7,18,34.6,10,19.2,"*","*","*","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",87,87,100.0,87,16,18.4,13,14.9,21,24.1,29,33.3,8,9.2,37,42.5
"Danbury School District","=""0340011""","South Street School","=""0341011""",58,57,98.3,57,"*","*",15,26.3,17,29.8,17,29.8,"*","*","*","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",55,54,98.2,54,15,27.8,"*","*","*","*",19,35.2,8,14.8,27,50.0
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",87,86,98.9,86,8,9.3,18,20.9,20,23.3,33,38.4,7,8.1,40,46.5
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",64,64,100.0,64,12,18.8,16,25.0,22,34.4,14,21.9,0,0.0,14,21.9
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",59,58,98.3,58,"*","*",7,12.1,19,32.8,23,39.7,"*","*","*","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",90,90,100.0,90,12,13.3,16,17.8,24,26.7,31,34.4,7,7.8,38,42.2
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",190,188,98.9,188,16,8.5,28,14.9,48,25.5,71,37.8,25,13.3,96,51.1
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",60,59,98.3,59,0,0.0,7,11.9,12,20.3,28,47.5,12,20.3,40,67.8
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",352,350,99.4,350,59,16.9,37,10.6,92,26.3,148,42.3,14,4.0,162,46.3
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",352,349,99.1,349,94,26.9,55,15.8,73,20.9,112,32.1,15,4.3,127,36.4
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",704,690,98.0,689,145,21.0,124,18.0,233,33.8,121,17.6,66,9.6,187,27.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",23,23,100.0,23,9,39.1,8,34.8,6,26.1,0,0.0,0,0.0,0,0.0
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",94,93,98.9,93,0,0.0,"*","*","*","*",35,37.6,47,50.5,82,88.2
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",63,63,100.0,63,0,0.0,"*","*","*","*",30,47.6,19,30.2,49,77.8
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",60,60,100.0,60,0,0.0,"*","*","*","*",27,45.0,27,45.0,54,90.0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",67,67,100.0,67,"*","*","*","*",12,17.9,24,35.8,28,41.8,52,77.6
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",69,69,100.0,69,"*","*","*","*",8,11.6,37,53.6,21,30.4,58,84.1
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",373,369,98.9,369,"*","*","*","*",20,5.4,161,43.6,176,47.7,337,91.3
"Darien School District","=""0350011""","Darien High School","=""0356111""",349,337,96.6,336,"*","*","*","*",64,19.0,90,26.8,172,51.2,262,78.0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Irving School","=""0370411""",52,52,100.0,52,"*","*",11,21.2,11,21.2,21,40.4,"*","*","*","*"
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",55,55,100.0,55,"*","*",10,18.2,19,34.5,18,32.7,"*","*","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",96,95,99.0,95,23,24.2,22,23.2,16,16.8,27,28.4,7,7.4,34,35.8
"Derby School District","=""0370011""","Derby High School","=""0376111""",80,78,97.5,78,14,17.9,15,19.2,24,30.8,14,17.9,11,14.1,25,32.1
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",73,73,100.0,73,"*","*","*","*",11,15.1,28,38.4,30,41.1,58,79.5
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",62,62,100.0,62,"*","*","*","*",10,16.1,32,51.6,"*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*","*","*","*","*","*","*","*","*","*","*",28,49.1,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",170,167,98.2,167,"*","*","*","*",24,14.4,95,56.9,37,22.2,132,79.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",85,84,98.8,84,"*","*","*","*",38,45.2,12,14.3,24,28.6,36,42.9
"East Hampton School District","=""0420011""","Center School","=""0420311""",134,130,97.0,130,"*","*","*","*",20,15.4,63,48.5,32,24.6,95,73.1
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",148,146,98.6,146,"*","*","*","*",23,15.8,72,49.3,37,25.3,109,74.7
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",107,106,99.1,106,"*","*","*","*",30,28.3,24,22.6,43,40.6,67,63.2
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",50,50,100.0,50,"*","*",11,22.0,15,30.0,16,32.0,"*","*","*","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",37,37,100.0,37,"*","*","*","*",16,43.2,12,32.4,0,0.0,12,32.4
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",58,58,100.0,58,12,20.7,"*","*",18,31.0,15,25.9,"*","*","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",43,43,100.0,43,12,27.9,9,20.9,16,37.2,6,14.0,0,0.0,6,14.0
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",92,92,100.0,92,12,13.0,"*","*",35,38.0,35,38.0,"*","*","*","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",36,36,100.0,36,9,25.0,12,33.3,9,25.0,"*","*","*","*",6,16.7
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",75,75,100.0,75,"*","*",20,26.7,22,29.3,18,24.0,"*","*","*","*"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",63,63,100.0,63,"*","*","*","*",8,12.7,31,49.2,14,22.2,45,71.4
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",50,50,100.0,50,13,26.0,10,20.0,20,40.0,"*","*","*","*",7,14.0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",476,471,98.9,471,160,34.0,73,15.5,84,17.8,123,26.1,31,6.6,154,32.7
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",372,354,95.2,353,63,17.8,85,24.1,127,36.0,46,13.0,32,9.1,78,22.1
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",51,51,100.0,51,0,0.0,"*","*",18,35.3,21,41.2,"*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",29,13,44.8,13,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",51,39,76.5,36,27,75.0,7,19.4,"*","*","*","*",0,0.0,"*","*"
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",50,50,100.0,50,"*","*",6,12.0,17,34.0,17,34.0,"*","*","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",51,51,100.0,51,"*","*","*","*",19,37.3,24,47.1,"*","*","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",64,64,100.0,64,"*","*","*","*",15,23.4,28,43.8,9,14.1,37,57.8
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",84,84,100.0,84,6,7.1,8,9.5,21,25.0,41,48.8,8,9.5,49,58.3
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",202,199,98.5,199,52,26.1,32,16.1,44,22.1,63,31.7,8,4.0,71,35.7
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",222,218,98.2,218,8,3.7,38,17.4,104,47.7,48,22.0,20,9.2,68,31.2
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",8,8,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",421,417,99.0,417,10,2.4,15,3.6,60,14.4,215,51.6,117,28.1,332,79.6
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",277,274,98.9,274,0,0.0,11,4.0,67,24.5,75,27.4,121,44.2,196,71.5
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",154,153,99.4,153,"*","*","*","*",35,22.9,69,45.1,39,25.5,108,70.6
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",89,88,98.9,88,6,6.8,6,6.8,33,37.5,24,27.3,19,21.6,43,48.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",36,36,100.0,36,"*","*",6,16.7,20,55.6,"*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",54,47,87.0,46,9,19.6,"*","*",17,37.0,9,19.6,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",34,34,100.0,34,"*","*","*","*","*","*",19,55.9,"*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",121,120,99.2,120,"*","*","*","*","*","*","*","*",51,42.5,"*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*","*","*","*","*","*","*",12,11.7,64,62.1,"*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",217,217,100.0,217,"*","*","*","*",24,11.1,104,47.9,79,36.4,183,84.3
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",212,212,100.0,212,13,6.1,12,5.7,28,13.2,115,54.2,44,20.8,159,75.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",179,178,99.4,178,"*","*","*","*",48,27.0,60,33.7,60,33.7,120,67.4
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",161,161,100.0,159,41,25.8,37,23.3,46,28.9,"*","*","*","*",35,22.0
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",113,113,100.0,113,"*","*",13,11.5,40,35.4,47,41.6,"*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",141,141,100.0,141,"*","*","*","*",31,22.0,62,44.0,30,21.3,92,65.2
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",138,138,100.0,138,"*","*",13,9.4,23,16.7,69,50.0,27,19.6,96,69.6
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",352,350,99.4,350,24,6.9,42,12.0,56,16.0,170,48.6,58,16.6,228,65.1
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",177,173,97.7,173,8,4.6,17,9.8,77,44.5,45,26.0,26,15.0,71,41.0
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",192,192,100.0,192,"*","*","*","*",66,34.4,63,32.8,44,22.9,107,55.7
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""",20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",45,45,100.0,45,0,0.0,"*","*","*","*",23,51.1,15,33.3,38,84.4
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",69,67,97.1,67,"*","*",0,0.0,"*","*",30,44.8,26,38.8,56,83.6
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",60,60,100.0,60,"*","*","*","*",7,11.7,32,53.3,16,26.7,48,80.0
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",73,73,100.0,73,"*","*",12,16.4,20,27.4,26,35.6,"*","*","*","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",66,66,100.0,66,"*","*","*","*",11,16.7,33,50.0,16,24.2,49,74.2
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",63,63,100.0,63,0,0.0,0,0.0,"*","*","*","*",46,73.0,"*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",71,71,100.0,71,0,0.0,"*","*",12,16.9,35,49.3,23,32.4,58,81.7
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",92,92,100.0,92,"*","*","*","*",11,12.0,49,53.3,26,28.3,75,81.5
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",81,80,98.8,80,"*","*","*","*",12,15.0,37,46.3,25,31.3,62,77.5
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",56,56,100.0,56,"*","*","*","*",8,14.3,23,41.1,23,41.1,46,82.1
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",90,90,100.0,90,"*","*","*","*","*","*",31,34.4,52,57.8,83,92.2
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",225,221,98.2,221,14,6.3,10,4.5,21,9.5,123,55.7,53,24.0,176,79.6
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",294,291,99.0,291,13,4.5,8,2.7,30,10.3,166,57.0,74,25.4,240,82.5
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",272,271,99.6,271,"*","*","*","*",25,9.2,137,50.6,100,36.9,237,87.5
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",387,379,97.9,379,6,1.6,11,2.9,97,25.6,116,30.6,149,39.3,265,69.9
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",373,368,98.7,368,7,1.9,17,4.6,78,21.2,110,29.9,156,42.4,266,72.3
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",311,309,99.4,309,"*","*","*","*",23,7.4,120,38.8,152,49.2,272,88.0
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",292,289,99.0,289,6,2.1,8,2.8,35,12.1,155,53.6,85,29.4,240,83.0
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",291,287,98.6,287,"*","*","*","*",53,18.5,78,27.2,145,50.5,223,77.7
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",37,37,100.0,37,"*","*","*","*",9,24.3,15,40.5,7,18.9,22,59.5
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",83,83,100.0,83,"*","*","*","*",9,10.8,36,43.4,33,39.8,69,83.1
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",41,41,100.0,41,0,0.0,"*","*","*","*",12,29.3,26,63.4,38,92.7
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",78,78,100.0,78,0,0.0,0,0.0,"*","*","*","*",48,61.5,"*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",76,76,100.0,76,0,0.0,"*","*","*","*",33,43.4,32,42.1,65,85.5
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",68,68,100.0,68,"*","*","*","*",9,13.2,32,47.1,17,25.0,49,72.1
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",95,94,98.9,94,0,0.0,"*","*","*","*",38,40.4,52,55.3,90,95.7
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",515,515,100.0,514,16,3.1,16,3.1,35,6.8,241,46.9,206,40.1,447,87.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",478,475,99.4,475,7,1.5,20,4.2,100,21.1,105,22.1,243,51.2,348,73.3
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",64,64,100.0,64,"*","*","*","*","*","*",25,39.1,33,51.6,58,90.6
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",157,155,98.7,155,"*","*","*","*",16,10.3,93,60.0,39,25.2,132,85.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",168,166,98.8,166,"*","*","*","*",21,12.7,42,25.3,93,56.0,135,81.3
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",73,73,100.0,73,"*","*","*","*",12,16.4,33,45.2,21,28.8,54,74.0
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",55,54,98.2,54,"*","*","*","*",9,16.7,24,44.4,13,24.1,37,68.5
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",79,79,100.0,79,"*","*","*","*","*","*",40,50.6,29,36.7,69,87.3
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",55,55,100.0,55,"*","*",10,18.2,13,23.6,18,32.7,"*","*","*","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",38,38,100.0,38,"*","*","*","*",11,28.9,15,39.5,"*","*","*","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",76,76,100.0,76,0,0.0,"*","*","*","*",31,40.8,35,46.1,66,86.8
"Greenwich School District","=""0570011""","North Street School","=""0570811""",58,57,98.3,57,0,0.0,"*","*","*","*",26,45.6,25,43.9,51,89.5
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",80,80,100.0,80,"*","*","*","*",9,11.3,37,46.3,31,38.8,68,85.0
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",82,82,100.0,82,0,0.0,"*","*","*","*",36,43.9,38,46.3,74,90.2
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",33,32,97.0,32,0,0.0,0,0.0,"*","*",19,59.4,"*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",61,61,100.0,61,0,0.0,"*","*","*","*",24,39.3,31,50.8,55,90.2
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",186,186,100.0,186,6,3.2,9,4.8,22,11.8,107,57.5,42,22.6,149,80.1
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",260,260,100.0,260,"*","*","*","*",13,5.0,135,51.9,103,39.6,238,91.5
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",188,186,98.9,186,15,8.1,14,7.5,28,15.1,87,46.8,42,22.6,129,69.4
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",600,597,99.5,596,16,2.7,22,3.7,121,20.3,137,23.0,300,50.3,437,73.3
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",258,256,99.2,256,18,7.0,21,8.2,53,20.7,125,48.8,39,15.2,164,64.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",145,144,99.3,144,11,7.6,20,13.9,49,34.0,38,26.4,26,18.1,64,44.4
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",36,36,100.0,36,0,0.0,"*","*","*","*",15,41.7,12,33.3,27,75.0
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",63,63,100.0,63,7,11.1,9,14.3,9,14.3,25,39.7,13,20.6,38,60.3
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",37,36,97.3,36,"*","*",0,0.0,12,33.3,19,52.8,"*","*","*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",30,30,100.0,30,"*","*","*","*",8,26.7,12,40.0,"*","*","*","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",38,38,100.0,38,0,0.0,"*","*","*","*",21,55.3,13,34.2,34,89.5
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",52,52,100.0,52,"*","*",7,13.5,12,23.1,26,50.0,"*","*","*","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",52,52,100.0,52,"*","*",9,17.3,"*","*",21,40.4,9,17.3,30,57.7
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",134,133,99.3,133,15,11.3,"*","*",24,18.0,63,47.4,22,16.5,85,63.9
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",148,148,100.0,148,10,6.8,18,12.2,21,14.2,77,52.0,22,14.9,99,66.9
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",252,235,93.3,235,17,7.2,28,11.9,86,36.6,43,18.3,61,26.0,104,44.3
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",294,293,99.7,293,10,3.4,20,6.8,42,14.3,152,51.9,69,23.5,221,75.4
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",288,288,100.0,288,11,3.8,15,5.2,30,10.4,183,63.5,49,17.0,232,80.6
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",289,289,100.0,289,"*","*","*","*",64,22.1,79,27.3,133,46.0,212,73.4
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",50,50,100.0,50,12,24.0,"*","*",13,26.0,14,28.0,"*","*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""",35,35,100.0,35,11,31.4,6,17.1,11,31.4,7,20.0,0,0.0,7,20.0
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",39,38,97.4,38,"*","*","*","*",7,18.4,18,47.4,"*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",57,57,100.0,57,10,17.5,11,19.3,12,21.1,17,29.8,7,12.3,24,42.1
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",21,16,76.2,16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",58,58,100.0,58,"*","*","*","*","*","*",26,44.8,21,36.2,47,81.0
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",45,44,97.8,44,8,18.2,"*","*",10,22.7,16,36.4,"*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",74,74,100.0,74,"*","*","*","*",13,17.6,38,51.4,12,16.2,50,67.6
"Hamden School District","=""0620011""","West Woods School","=""0621411""",55,55,100.0,55,"*","*","*","*",10,18.2,32,58.2,7,12.7,39,70.9
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",411,406,98.8,406,72,17.7,49,12.1,85,20.9,167,41.1,33,8.1,200,49.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",401,381,95.0,378,55,14.6,54,14.3,142,37.6,59,15.6,68,18.0,127,33.6
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""",70,69,98.6,69,31,44.9,16,23.2,14,20.3,8,11.6,0,0.0,8,11.6
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",104,104,100.0,104,50,48.1,21,20.2,21,20.2,"*","*","*","*",12,11.5
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",107,107,100.0,107,61,57.0,21,19.6,15,14.0,10,9.3,0,0.0,10,9.3
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",135,131,97.0,131,60,45.8,39,29.8,25,19.1,7,5.3,0,0.0,7,5.3
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",109,109,100.0,109,53,48.6,20,18.3,21,19.3,15,13.8,0,0.0,15,13.8
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",118,118,100.0,118,12,10.2,13,11.0,22,18.6,46,39.0,25,21.2,71,60.2
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",121,118,97.5,118,50,42.4,26,22.0,27,22.9,15,12.7,0,0.0,15,12.7
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",208,207,99.5,207,"*","*",42,20.3,56,27.1,66,31.9,"*","*","*","*"
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",82,82,100.0,81,52,64.2,8,9.9,13,16.0,8,9.9,0,0.0,8,9.9
