"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (2-"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",46,45,97.8,44,"*","*",7,15.9,13,29.5,"*","*","*","*","*","*",251
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Y",71,71,100.0,71,"*","*","*","*",27,38.0,7,9.9,"*","*","*","*",217
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","N",29,29,100.0,29,"*","*","*","*",14,48.3,6,20.7,"*","*","*","*",246
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Y",72,69,95.8,68,"*","*","*","*",21,30.9,7,10.3,"*","*","*","*",219
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N",31,31,100.0,31,"*","*","*","*",12,38.7,9,29.0,"*","*","*","*",261
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Y",37,35,94.6,35,"*","*","*","*",12,34.3,11,31.4,7,20.0,18,51.4,263
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","N",303,301,99.3,298,"*","*","*","*",75,25.2,96,32.2,116,38.9,212,71.1,286
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Y",27,24,88.9,24,"*","*","*","*","*","*","*","*","*","*","*","*",215
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","N",105,104,99.0,104,"*","*","*","*","*","*","*","*","*","*","*","*",280
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Y",36,36,100.0,36,"*","*",8,22.2,13,36.1,"*","*",7,19.4,"*","*",248
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","N",183,181,98.9,180,"*","*","*","*",44,24.4,44,24.4,80,44.4,124,68.9,283
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Y",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",224
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","N",28,24,85.7,24,"*","*","*","*","*","*","*","*",7,29.2,"*","*",260
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Y",150,150,100.0,149,25,16.8,43,28.9,63,42.3,"*","*","*","*",18,12.1,221
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","N",54,54,100.0,54,9,16.7,7,13.0,32,59.3,"*","*","*","*",6,11.1,227
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Y",73,72,98.6,72,"*","*",10,13.9,38,52.8,13,18.1,"*","*","*","*",245
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","N",97,96,99.0,96,"*","*","*","*",52,54.2,20,20.8,15,15.6,35,36.5,258
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Y",47,47,100.0,47,0,0.0,8,17.0,16,34.0,13,27.7,10,21.3,23,48.9,266
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","N",109,109,100.0,108,"*","*","*","*",44,40.7,20,18.5,30,27.8,50,46.3,265
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Y",97,95,97.9,95,"*","*",26,27.4,43,45.3,"*","*",0,0.0,"*","*",209
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","N",36,36,100.0,36,12,33.3,"*","*",14,38.9,"*","*",0,0.0,"*","*",210
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Y",154,154,100.0,154,"*","*",60,39.0,59,38.3,"*","*",0,0.0,"*","*",211
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","N",41,41,100.0,41,"*","*",10,24.4,21,51.2,"*","*","*","*","*","*",225
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Y",68,68,100.0,68,"*","*",21,30.9,29,42.6,6,8.8,"*","*","*","*",230
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","N",85,85,100.0,85,"*","*",18,21.2,42,49.4,17,20.0,"*","*","*","*",242
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Y",62,62,100.0,62,"*","*",11,17.7,31,50.0,"*","*",12,19.4,"*","*",247
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","N",108,108,100.0,108,"*","*",13,12.0,48,44.4,"*","*",20,18.5,"*","*",257
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Y",51,50,98.0,50,"*","*","*","*",17,34.0,8,16.0,9,18.0,17,34.0,241
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","N",70,70,100.0,70,"*","*",15,21.4,27,38.6,17,24.3,"*","*","*","*",248
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Y",95,95,100.0,95,"*","*","*","*",44,46.3,16,16.8,14,14.7,30,31.6,246
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","N",62,62,100.0,62,"*","*","*","*",18,29.0,16,25.8,15,24.2,31,50.0,262
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Y",52,52,100.0,52,"*","*","*","*",19,36.5,17,32.7,9,17.3,26,50.0,256
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","N",112,111,99.1,111,0,0.0,"*","*",51,45.9,29,26.1,"*","*","*","*",269
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","Y",66,66,100.0,66,"*","*","*","*",36,54.5,7,10.6,"*","*","*","*",229
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","N",49,49,100.0,49,"*","*","*","*",25,51.0,8,16.3,"*","*","*","*",251
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Y",47,47,100.0,47,"*","*","*","*",27,57.4,6,12.8,9,19.1,15,31.9,254
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","N",122,122,100.0,121,"*","*","*","*",64,52.9,30,24.8,18,14.9,48,39.7,258
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Y",79,79,100.0,79,"*","*","*","*",50,63.3,13,16.5,"*","*","*","*",245
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","N",113,113,100.0,113,"*","*","*","*",53,46.9,34,30.1,"*","*","*","*",262
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Y",62,62,100.0,62,"*","*",12,19.4,24,38.7,12,19.4,"*","*","*","*",235
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","N",75,75,100.0,75,"*","*",8,10.7,30,40.0,19,25.3,"*","*","*","*",260
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Y",59,59,100.0,59,"*","*",12,20.3,32,54.2,9,15.3,"*","*","*","*",235
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","N",83,83,100.0,83,"*","*",8,9.6,39,47.0,21,25.3,"*","*","*","*",252
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Y",75,75,100.0,75,"*","*",20,26.7,38,50.7,"*","*",7,9.3,"*","*",234
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","N",127,127,100.0,127,"*","*",20,15.7,61,48.0,"*","*",16,12.6,"*","*",250
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Y",62,62,100.0,62,"*","*",11,17.7,27,43.5,"*","*",10,16.1,"*","*",247
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","N",44,44,100.0,44,"*","*","*","*",18,40.9,7,15.9,10,22.7,17,38.6,258
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","N",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Y",13,13,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","N",98,97,99.0,97,"*","*","*","*","*","*","*","*","*","*","*","*",289
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Y",21,21,100.0,21,"*","*","*","*",9,42.9,"*","*","*","*","*","*",221
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","N",126,125,99.2,125,"*","*","*","*",49,39.2,"*","*","*","*","*","*",272
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Y",309,305,98.7,304,81,26.6,62,20.4,110,36.2,40,13.2,11,3.6,51,16.8,219
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","N",395,385,97.5,385,64,16.6,62,16.1,123,31.9,81,21.0,55,14.3,136,35.3,242
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,"*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","N",343,331,96.5,330,"*","*","*","*","*","*","*","*","*","*","*","*",297
"Derby School District","=""0370011""","Derby High School","=""0376111""","Y",36,36,100.0,36,"*","*",7,19.4,14,38.9,"*","*","*","*","*","*",222
"Derby School District","=""0370011""","Derby High School","=""0376111""","N",44,42,95.5,42,"*","*",8,19.0,10,23.8,"*","*","*","*","*","*",251
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","N",73,72,98.6,72,"*","*","*","*","*","*","*","*","*","*","*","*",268
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Y",20,20,100.0,20,"*","*","*","*",9,45.0,"*","*","*","*","*","*",245
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","N",87,86,98.9,86,"*","*","*","*",21,24.4,"*","*","*","*","*","*",287
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Y",254,239,94.1,238,51,21.4,61,25.6,82,34.5,27,11.3,17,7.1,44,18.5,224
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","N",118,115,97.5,115,12,10.4,24,20.9,45,39.1,19,16.5,15,13.0,34,29.6,243
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Y",20,20,100.0,20,0,0.0,0,0.0,10,50.0,"*","*","*","*",10,50.0,263
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","N",31,31,100.0,31,0,0.0,"*","*",8,25.8,14,45.2,"*","*","*","*",280
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Y",23,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","N",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Y",102,100,98.0,100,"*","*",20,20.0,52,52.0,15,15.0,"*","*","*","*",240
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","N",120,118,98.3,118,"*","*",18,15.3,52,44.1,33,28.0,"*","*","*","*",252
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Y",43,42,97.7,42,0,0.0,"*","*",14,33.3,12,28.6,"*","*","*","*",266
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","N",234,232,99.1,232,0,0.0,"*","*","*","*",63,27.2,110,47.4,173,74.6,294
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Y",35,34,97.1,34,"*","*","*","*",14,41.2,"*","*",8,23.5,"*","*",246
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","N",54,54,100.0,54,"*","*","*","*",19,35.2,"*","*",11,20.4,"*","*",263
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","N",23,23,100.0,23,0,0.0,"*","*","*","*","*","*","*","*","*","*",249
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Y",29,25,86.2,24,"*","*","*","*",8,33.3,"*","*","*","*","*","*",246
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","N",25,22,88.0,22,"*","*","*","*",9,40.9,"*","*","*","*","*","*",227
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","N",162,161,99.4,161,0,0.0,"*","*","*","*","*","*","*","*","*","*",279
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Y",19,19,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","N",13,13,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
