"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","F",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*","*","*",252
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","M",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","F",36,36,100.0,36,7,19.4,11,30.6,10,27.8,8,22.2,0,0.0,8,22.2,221
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","M",38,37,97.4,37,7,18.9,13,35.1,10,27.0,7,18.9,0,0.0,7,18.9,213
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","F",25,25,100.0,25,"*","*","*","*","*","*","*","*","*","*","*","*",228
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","M",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","F",24,24,100.0,24,10,41.7,"*","*",6,25.0,"*","*",0,0.0,"*","*",196
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","M",26,26,100.0,26,8,30.8,9,34.6,6,23.1,"*","*","*","*","*","*",208
"Bridgeport School District","=""0150011""","Read School","=""0152511""","F",32,31,96.9,31,9,29.0,"*","*",13,41.9,"*","*",0,0.0,"*","*",212
"Bridgeport School District","=""0150011""","Read School","=""0152511""","M",46,46,100.0,46,18,39.1,"*","*",7,15.2,"*","*","*","*","*","*",198
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","F",33,33,100.0,33,16,48.5,12,36.4,"*","*","*","*",0,0.0,"*","*",186
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","M",26,26,100.0,26,13,50.0,8,30.8,"*","*","*","*",0,0.0,"*","*",184
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","M",29,29,100.0,29,"*","*","*","*","*","*","*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","F",39,39,100.0,39,"*","*",14,35.9,14,35.9,"*","*",0,0.0,"*","*",206
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","M",38,38,100.0,38,"*","*",12,31.6,11,28.9,"*","*",0,0.0,"*","*",208
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","F",36,36,100.0,36,"*","*",6,16.7,16,44.4,11,30.6,"*","*","*","*",238
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","M",37,37,100.0,37,"*","*",11,29.7,10,27.0,12,32.4,"*","*","*","*",233
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","F",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*","*","*",248
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","F",21,21,100.0,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",196
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","M",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","F",42,42,100.0,42,9,21.4,16,38.1,8,19.0,9,21.4,0,0.0,9,21.4,214
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","M",65,65,100.0,65,15,23.1,20,30.8,16,24.6,14,21.5,0,0.0,14,21.5,211
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","F",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","M",20,20,100.0,20,"*","*","*","*","*","*","*","*",0,0.0,"*","*",192
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","F",36,36,100.0,36,11,30.6,10,27.8,9,25.0,"*","*","*","*","*","*",206
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","M",30,29,96.7,29,11,37.9,"*","*",8,27.6,"*","*",0,0.0,"*","*",196
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","F",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*","*","*",238
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","F",27,27,100.0,27,"*","*","*","*",6,22.2,16,59.3,"*","*","*","*",256
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","M",21,21,100.0,21,"*","*","*","*",9,42.9,8,38.1,"*","*","*","*",241
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","F",34,34,100.0,34,"*","*","*","*",7,20.6,20,58.8,"*","*","*","*",266
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","M",33,33,100.0,33,"*","*","*","*",8,24.2,13,39.4,"*","*","*","*",252
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","F",54,54,100.0,54,"*","*","*","*",11,20.4,22,40.7,9,16.7,31,57.4,259
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","M",60,59,98.3,59,"*","*",11,18.6,"*","*",24,40.7,10,16.9,34,57.6,251
"Bristol School District","=""0170011""","South Side School","=""0171111""","F",39,39,100.0,39,"*","*","*","*",9,23.1,19,48.7,"*","*","*","*",249
"Bristol School District","=""0170011""","South Side School","=""0171111""","M",34,34,100.0,34,"*","*","*","*",8,23.5,17,50.0,"*","*","*","*",245
"Bristol School District","=""0170011""","Stafford School","=""0171211""","F",42,42,100.0,42,"*","*","*","*","*","*",25,59.5,"*","*","*","*",252
"Bristol School District","=""0170011""","Stafford School","=""0171211""","M",30,30,100.0,30,0,0.0,"*","*","*","*",15,50.0,"*","*","*","*",271
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","F",35,35,100.0,35,"*","*","*","*","*","*",19,54.3,6,17.1,25,71.4,265
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","M",30,30,100.0,30,"*","*","*","*","*","*",17,56.7,6,20.0,23,76.7,263
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","F",27,27,100.0,27,"*","*","*","*",13,48.1,11,40.7,0,0.0,11,40.7,243
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","M",32,32,100.0,32,"*","*","*","*",7,21.9,19,59.4,0,0.0,19,59.4,248
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","F",37,37,100.0,37,0,0.0,"*","*","*","*",22,59.5,8,21.6,30,81.1,275
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","M",33,33,100.0,33,"*","*","*","*",8,24.2,9,27.3,6,18.2,15,45.5,244
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","F",59,59,100.0,59,"*","*","*","*",12,20.3,27,45.8,9,15.3,36,61.0,253
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","M",55,54,98.2,54,"*","*","*","*",9,16.7,19,35.2,16,29.6,35,64.8,265
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","M",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","F",93,91,97.8,91,"*","*","*","*",12,13.2,40,44.0,32,35.2,72,79.1,280
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","M",98,97,99.0,97,"*","*","*","*",8,8.2,41,42.3,40,41.2,81,83.5,288
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","F",56,56,100.0,56,0,0.0,"*","*","*","*",27,48.2,20,35.7,47,83.9,286
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","M",46,46,100.0,46,"*","*","*","*",10,21.7,20,43.5,10,21.7,30,65.2,265
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","F",20,20,100.0,20,0,0.0,0,0.0,"*","*",13,65.0,"*","*","*","*",271
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","M",32,32,100.0,32,"*","*","*","*","*","*",13,40.6,"*","*","*","*",253
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","F",58,58,100.0,58,"*","*","*","*","*","*",20,34.5,29,50.0,49,84.5,291
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","M",79,79,100.0,79,"*","*","*","*","*","*",36,45.6,26,32.9,62,78.5,279
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","F",28,28,100.0,28,"*","*","*","*",7,25.0,11,39.3,"*","*","*","*",254
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","M",35,35,100.0,35,"*","*","*","*",9,25.7,12,34.3,"*","*","*","*",257
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","F",29,28,96.6,28,"*","*","*","*",6,21.4,16,57.1,"*","*","*","*",244
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","M",28,28,100.0,28,"*","*","*","*",6,21.4,11,39.3,"*","*","*","*",261
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","F",22,22,100.0,22,0,0.0,7,31.8,"*","*",6,27.3,"*","*","*","*",236
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","M",31,30,96.8,30,10,33.3,6,20.0,"*","*",9,30.0,"*","*","*","*",217
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","F",26,26,100.0,26,"*","*","*","*",7,26.9,9,34.6,"*","*","*","*",251
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","M",33,33,100.0,33,"*","*","*","*",6,18.2,13,39.4,"*","*","*","*",246
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","F",21,21,100.0,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",222
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","M",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","M",26,25,96.2,25,0,0.0,"*","*","*","*","*","*","*","*","*","*",257
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","F",31,31,100.0,31,"*","*",0,0.0,"*","*",19,61.3,10,32.3,29,93.5,286
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","M",21,21,100.0,21,0,0.0,0,0.0,"*","*",13,61.9,"*","*","*","*",282
"Cheshire School District","=""0250011""","Highland School","=""0250411""","F",71,71,100.0,71,0,0.0,"*","*","*","*",32,45.1,25,35.2,57,80.3,285
"Cheshire School District","=""0250011""","Highland School","=""0250411""","M",59,59,100.0,59,"*","*","*","*",7,11.9,27,45.8,23,39.0,50,84.7,287
"Cheshire School District","=""0250011""","Norton School","=""0250511""","F",37,36,97.3,36,0,0.0,"*","*","*","*",13,36.1,19,52.8,32,88.9,299
"Cheshire School District","=""0250011""","Norton School","=""0250511""","M",35,35,100.0,35,0,0.0,"*","*","*","*",12,34.3,21,60.0,33,94.3,310
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","F",50,50,100.0,50,0,0.0,"*","*","*","*",23,46.0,12,24.0,35,70.0,271
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","M",43,43,100.0,43,"*","*","*","*",7,16.3,21,48.8,12,27.9,33,76.7,273
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","F",88,88,100.0,88,"*","*","*","*",18,20.5,38,43.2,23,26.1,61,69.3,268
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","M",88,88,100.0,88,"*","*","*","*",17,19.3,44,50.0,23,26.1,67,76.1,274
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","F",98,98,100.0,98,"*","*","*","*",14,14.3,56,57.1,22,22.4,78,79.6,276
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","M",103,103,100.0,103,"*","*","*","*",19,18.4,49,47.6,30,29.1,79,76.7,281
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","F",32,32,100.0,32,"*","*",0,0.0,"*","*",18,56.3,6,18.8,24,75.0,264
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","M",25,25,100.0,25,0,0.0,"*","*","*","*",9,36.0,9,36.0,18,72.0,278
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*","*","*",255
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","M",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","F",62,62,100.0,62,0,0.0,"*","*","*","*",29,46.8,20,32.3,49,79.0,280
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","M",53,52,98.1,52,0,0.0,"*","*","*","*",23,44.2,19,36.5,42,80.8,284
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","F",91,91,100.0,91,"*","*","*","*",32,35.2,30,33.0,18,19.8,48,52.7,258
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","M",84,84,100.0,84,"*","*","*","*",10,11.9,43,51.2,19,22.6,62,73.8,267
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","F",33,33,100.0,33,"*","*","*","*",9,27.3,13,39.4,"*","*","*","*",250
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","M",32,31,96.9,31,"*","*","*","*",7,22.6,7,22.6,"*","*","*","*",232
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","F",30,30,100.0,30,"*","*","*","*",11,36.7,"*","*","*","*","*","*",219
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","M",22,22,100.0,22,"*","*","*","*",7,31.8,"*","*","*","*","*","*",229
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","F",42,42,100.0,42,10,23.8,"*","*",15,35.7,10,23.8,"*","*","*","*",221
