"Five-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Non-Graduates",,,,,,,
"",,"Five-Year Still Enrolled Rate by Year",,,,"Five-Year Other Rate by Year",,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14","2010-11","2011-12","2012-13","2013-14"
"Fairfield School District","Special Education","*",6.4,7.7,8.8,"*","*",17.9,"*"
"Farmington School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Farmington School District","Special Education","*","*","*","*","*","*","*","*"
"Glastonbury School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Glastonbury School District","Special Education","*","*","*","*","*","*","*","*"
"Granby School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Granby School District","Special Education","*","*","*","*","*","*","*","*"
"Greenwich School District","Non-Special Education","*",3.1,"*","*","*","*","*","*"
"Greenwich School District","Special Education","*",8.6,"*","*","*","*","*","*"
"Griswold School District","Non-Special Education",11.2,"*","*",7.8,"*","*","*","*"
"Griswold School District","Special Education",52.2,"*","*",24.1,"*","*","*","*"
"Groton School District","Non-Special Education",15.0,15.4,11.8,12.4,"*","*","*","*"
"Groton School District","Special Education",32.4,17.1,19.1,14.3,"*","*","*","*"
"Guilford School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Guilford School District","Special Education","*","*","*","*","*","*","*","*"
"Hamden School District","Non-Special Education",10.6,8.1,6.7,3.6,"*","*","*","*"
"Hamden School District","Special Education",13.2,14.5,10.9,12.5,"*","*","*","*"
"Hartford School District","Non-Special Education",26.6,21.2,18.9,16.4,1.2,"*",0.9,2.5
"Hartford School District","Special Education",40.7,37.2,32.7,23.8,6.6,"*",10.0,15.6
"Killingly School District","Non-Special Education",21.4,"*",14.1,13.0,"*","*",3.1,"*"
"Killingly School District","Special Education",39.3,"*",32.4,18.2,"*","*",17.6,"*"
"Learn","Non-Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Learn","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Lebanon School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Lebanon School District","Special Education","*","*","*","*","*","*","*","*"
"Ledyard School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Ledyard School District","Special Education","*","*","*","*","*","*","*","*"
"Lisbon School District","Non-Special Education","N/A","*","*","*","N/A","*","*","*"
"Lisbon School District","Special Education","*","*","*","*","*","*","*","*"
"Litchfield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Litchfield School District","Special Education","*","*","*","*","*","*","*","*"
"Madison School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Madison School District","Special Education","*","*","*","*","*","*","*","*"
"Manchester School District","Non-Special Education",20.5,17.6,14.2,10.1,"*","*","*","*"
"Manchester School District","Special Education",26.9,27.6,23.9,15.8,"*","*","*","*"
"Meriden School District","Non-Special Education",22.2,21.2,19.9,13.2,"*","*",1.7,"*"
"Meriden School District","Special Education",27.5,36.2,32.7,38.4,"*","*",16.3,"*"
"Middletown School District","Non-Special Education",11.2,12.3,12.4,7.9,"*","*","*","*"
"Middletown School District","Special Education",33.3,22.8,16.1,12.0,"*","*","*","*"
"Milford School District","Non-Special Education","*",5.2,4.5,"*",1.7,"*",2.6,"*"
"Milford School District","Special Education","*",16.1,6.2,"*",13.5,"*",20.6,"*"
"Monroe School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Monroe School District","Special Education","*","*","*","*","*","*","*","*"
"Montville School District","Non-Special Education","*",8.1,"*","*","*","*","*","*"
"Montville School District","Special Education","*",34.3,"*","*","*","*","*","*"
"Naugatuck School District","Non-Special Education",12.7,11.9,11.8,13.4,"*","*","*","*"
"Naugatuck School District","Special Education",19.1,18.0,24.5,12.5,"*","*","*","*"
"New Britain School District","Non-Special Education",37.6,28.5,27.8,22.7,1.1,"*",2.0,1.8
"New Britain School District","Special Education",38.5,38.2,32.4,18.5,13.7,"*",19.4,25.9
"New Canaan School District","Non-Special Education","*","*","*","*","*","*","*","*"
"New Canaan School District","Special Education","*","*","*","*","*","*","*","*"
"New Fairfield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"New Fairfield School District","Special Education","*","*","*","*","*","*","*","*"
"New Haven School District","Non-Special Education",28.6,22.7,21.4,16.7,1.2,"*",1.0,1.2
"New Haven School District","Special Education",28.9,27.6,21.9,21.9,13.8,"*",15.1,17.5
"New London School District","Non-Special Education",23.0,26.1,26.0,19.0,"*","*","*","*"
"New London School District","Special Education",40.8,37.5,38.5,20.0,"*","*","*","*"
"New Milford School District","Non-Special Education",7.2,4.8,6.5,4.6,"*","*","*","*"
"New Milford School District","Special Education",29.1,15.5,21.2,19.4,"*","*","*","*"
"Newington School District","Non-Special Education",7.0,"*",5.0,"*","*","*","*","*"
"Newington School District","Special Education",15.4,"*",21.1,"*","*","*","*","*"
"Newtown School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Newtown School District","Special Education","*","*","*","*","*","*","*","*"
"North Branford School District","Non-Special Education","*","*","*","*","*","*","*","*"
"North Branford School District","Special Education","*","*","*","*","*","*","*","*"
"North Haven School District","Non-Special Education","*","*","*",5.2,"*","*","*","*"
"North Haven School District","Special Education","*","*","*",22.6,"*","*","*","*"
"North Stonington School District","Non-Special Education","*","*","*","*","*","*","*","*"
"North Stonington School District","Special Education","*","*","*","*","*","*","*","*"
"Norwalk School District","Non-Special Education",11.3,11.1,11.7,7.9,"*","*","*",4.9
"Norwalk School District","Special Education",13.8,17.1,15.9,6.1,"*","*","*",15.2
"Norwich Free Academy District","Non-Special Education",13.9,11.7,9.1,9.4,"*","*",2.4,"*"
"Norwich Free Academy District","Special Education",20.2,12.2,19.1,20.0,"*","*",21.3,"*"
"Norwich School District","Non-Special Education","*",79.3,"N/A","N/A","*","*","N/A","N/A"
"Norwich School District","Special Education","*",48.8,"N/A","N/A","*","*","N/A","N/A"
"Old Saybrook School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Old Saybrook School District","Special Education","*","*","*","*","*","*","*","*"
"Oxford School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Oxford School District","Special Education","*","*","*","*","*","*","*","*"
"Plainfield School District","Non-Special Education","*",5.7,"*","*","*","*","*","*"
"Plainfield School District","Special Education","*",23.3,"*","*","*","*","*","*"
"Plainville School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Plainville School District","Special Education","*","*","*","*","*","*","*","*"
"Plymouth School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Plymouth School District","Special Education","*","*","*","*","*","*","*","*"
"Portland School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Portland School District","Special Education","*","*","*","*","*","*","*","*"
"Putnam School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Putnam School District","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 01","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 01","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 04","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 04","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 05","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 05","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 06","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 06","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 07","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 07","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 08","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 08","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 09","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 09","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 10","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 10","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 11","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 11","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 12","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 12","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 13","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 13","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 14","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 14","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 15","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 15","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 16","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 16","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 17","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 17","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 18","Non-Special Education","*","*","*","*","*","*","*","*"
"Regional School District 18","Special Education","*","*","*","*","*","*","*","*"
"Regional School District 19","Non-Special Education","*",6.6,2.6,"*","*","*","*","*"
"Regional School District 19","Special Education","*",13.1,14.6,"*","*","*","*","*"
"Ridgefield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Ridgefield School District","Special Education","*","*","*","*","*","*","*","*"
"Rocky Hill School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Rocky Hill School District","Special Education","*","*","*","*","*","*","*","*"
"Seymour School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Seymour School District","Special Education","*","*","*","*","*","*","*","*"
"Shelton School District","Non-Special Education",4.9,4.3,4.6,3.6,"*","*","*","*"
"Shelton School District","Special Education",22.6,22.6,30.8,18.8,"*","*","*","*"
"Simsbury School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Simsbury School District","Special Education","*","*","*","*","*","*","*","*"
"Somers School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Somers School District","Special Education","*","*","*","*","*","*","*","*"
"South Windsor School District","Non-Special Education",5.6,"*","*","*","*","*","*","*"
"South Windsor School District","Special Education",14.9,"*","*","*","*","*","*","*"
"Southington School District","Non-Special Education","*",2.8,4.0,"*","*","*","*","*"
"Southington School District","Special Education","*",8.8,9.4,"*","*","*","*","*"
"Stafford School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Stafford School District","Special Education","*","*","*","*","*","*","*","*"
"Stamford Academy District","Non-Special Education",19.0,"*","*","*","*","*","*","*"
"Stamford Academy District","Special Education",60.0,"*","*","*","*","*","*","*"
"Stamford School District","Non-Special Education",9.4,9.5,7.1,5.3,0.8,"*","*",0.8
"Stamford School District","Special Education",11.7,8.7,8.7,6.8,9.2,"*","*",8.2
"Stonington School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Stonington School District","Special Education","*","*","*","*","*","*","*","*"
"Stratford School District","Non-Special Education",7.4,7.8,4.5,"*","*","*","*","*"
"Stratford School District","Special Education",14.5,20.4,16.9,"*","*","*","*","*"
"Suffield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Suffield School District","Special Education","*","*","*","*","*","*","*","*"
"The Bridge Academy District","Non-Special Education","*","*","*","*","*","*","*","*"
"The Bridge Academy District","Special Education","*","*","*","*","*","*","*","*"
"The Gilbert School District","Non-Special Education","*","*","*","*","*","*","*","*"
"The Gilbert School District","Special Education","*","*","*","*","*","*","*","*"
"Thomaston School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Thomaston School District","Special Education","*","*","*","*","*","*","*","*"
"Thompson School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Thompson School District","Special Education","*","*","*","*","*","*","*","*"
"Tolland School District","Non-Special Education","*","*","*","*","*","*","*",3.9
"Tolland School District","Special Education","*","*","*","*","*","*","*",25.0
"Torrington School District","Non-Special Education",15.4,14.8,"*","*","*","*","*","*"
"Torrington School District","Special Education",36.4,21.7,"*","*","*","*","*","*"
"Trumbull School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Trumbull School District","Special Education","*","*","*","*","*","*","*","*"
"Unified School District #1","Non-Special Education",94.6,98.1,82.2,80.6,3.7,"*",16.2,18.7
"Unified School District #1","Special Education",83.6,93.3,75.7,57.9,7.6,"*",20.8,40.7
"Unified School District #2","Non-Special Education",56.3,75.0,78.3,59.1,"*","*","*","*"
